model,condition,repeat,planned,recorded,valid,invalid_or_missing,BTC_count,BTC_valid_rate,CASH_count,CASH_valid_rate,ABSTAIN_count,ABSTAIN_valid_rate,mean_latency_seconds,mean_executed_exposure
llama3.3:70b,exposed,1,12,12,12,0,3,0.25,4,0.3333333333333333,5,0.4166666666666667,9.674244698602706,0.45
llama3.3:70b,hidden,1,12,12,12,0,4,0.3333333333333333,4,0.3333333333333333,4,0.3333333333333333,5.901401725442459,0.45416666666666666
qwen3:8b,exposed,1,12,12,12,0,3,0.25,1,0.08333333333333333,8,0.6666666666666666,3.091984185234954,0.45416666666666666
qwen3:8b,hidden,1,12,12,12,0,3,0.25,0,0.0,9,0.75,1.5531420325860381,0.45416666666666666
