scope,forecast_regime,strategy,days,arithmetic_mean_daily,geometric_mean_daily,daily_volatility,annualized_volatility,sharpe_zero_cash_rate,daily_loss_cvar95,positive_day_fraction,log_growth_contribution
FULL,bull,MEMORY,531,0.0017570759563357934,0.001642463107909254,0.015203980102449416,0.2905710915620501,2.208657404980017,0.030646154165602936,0.5216572504708098,0.8714324582114685
FULL,bear,MEMORY,503,0.00016032178124230715,5.111913536067288e-05,0.014782606070974423,0.28251799550058754,0.20727009086623263,0.035421675999231995,0.4831013916500994,0.025712267897565977
FULL,mix,MEMORY,574,-0.00013107460109283025,-0.00021891077507010277,0.013240800558266983,0.25305175654309164,-0.18919053834350175,0.03269516809976074,0.4912891986062718,-0.1256685404909509
FULL,bull,NO_MEMORY,531,0.001758114114910775,0.0016431869086899354,0.01522464084915804,0.2909659497296588,2.2069633270415103,0.030646154165602936,0.5216572504708098,0.871816166061159
FULL,bear,NO_MEMORY,503,0.00016032178124230715,5.111913536067288e-05,0.014782606070974423,0.28251799550058754,0.20727009086623263,0.035421675999231995,0.4831013916500994,0.025712267897565977
FULL,mix,NO_MEMORY,574,-0.00013137635844915358,-0.00021921474944982958,0.01324096683009852,0.2530549342496698,-0.1896237078555047,0.03269516809976074,0.4912891986062718,-0.12584306001564322
FULL,bull,CASH,531,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
FULL,bear,CASH,503,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
FULL,mix,CASH,574,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
FULL,bull,BTC_BUY_AND_HOLD,531,0.0037391337220842374,0.003252314713902689,0.03145247199327965,0.6011043856825176,2.2720156839990064,0.0622302592457303,0.5216572504708098,1.7241768475480297
FULL,bear,BTC_BUY_AND_HOLD,503,0.0005612022730935884,-9.69007930430526e-05,0.03627518625707984,0.6932737609698825,0.2956683806418255,0.08470524751671313,0.4831013916500994,-0.048743460578790976
FULL,mix,BTC_BUY_AND_HOLD,574,-0.0002558494759695211,-0.0006546800473563371,0.02815643857802557,0.5381121941088732,-0.17366085013669205,0.06903114197263002,0.4912891986062718,-0.37590941080878726
FULL,bull,STATIC45_REBALANCED_SECONDARY,531,0.0016772583569269542,0.001577981963760774,0.014153612100791082,0.27049696789659344,2.264789212357323,0.02800951651117767,0.5216572504708098,0.8372480152172844
FULL,bear,STATIC45_REBALANCED_SECONDARY,503,0.00024613522829174643,0.0001131587619163779,0.0163230303959699,0.31195783786861064,0.288182828640531,0.03812256263359351,0.4831013916500994,0.05691563705315662
FULL,mix,STATIC45_REBALANCED_SECONDARY,574,-0.0001198078807999483,-0.0002001751975815879,0.012670523569427468,0.24215289940020965,-0.18071156104498506,0.031070502616273178,0.4912891986062718,-0.11491206506824621
POST2021,bull,MEMORY,388,0.001428856115135093,0.0013470216659114825,0.012844070924272935,0.2454696522501446,2.126086427666682,0.026045317706941393,0.520618556701031,0.5222927154922439
POST2021,bear,MEMORY,380,6.13435789478928e-05,-3.412045355642473e-05,0.013833207966293963,0.2643735595209917,0.08475031410597167,0.0339616057762428,0.47368421052631576,-0.012965993555489802
POST2021,mix,MEMORY,476,8.488419436177836e-05,1.6514811959064865e-05,0.011696934655147198,0.223546140403626,0.13869151099929547,0.027542875506970158,0.4957983193277311,0.007860985581344196
POST2021,bull,NO_MEMORY,388,0.0014302768940096166,0.0013480119362786593,0.012877580233738313,0.24611006591572662,2.122662612734809,0.026062725324080806,0.520618556701031,0.5226764233419343
POST2021,bear,NO_MEMORY,380,6.13435789478928e-05,-3.412045355642473e-05,0.013833207966293963,0.2643735595209917,0.08475031410597167,0.0339616057762428,0.47368421052631576,-0.012965993555489802
POST2021,mix,NO_MEMORY,476,8.452031049091791e-05,1.6148168314408992e-05,0.011697168435938671,0.22355060830869472,0.1380942044415232,0.027546089544647143,0.4957983193277311,0.007686466056651894
POST2021,bull,CASH,388,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
POST2021,bear,CASH,380,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
POST2021,mix,CASH,476,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
POST2021,bull,BTC_BUY_AND_HOLD,388,0.00298143124858283,0.002644712780604529,0.02610831483412181,0.49896944675521215,2.1824337554662177,0.05253926468633064,0.520618556701031,1.0247940125021187
POST2021,bear,BTC_BUY_AND_HOLD,380,0.00028055670498410555,-0.0002743596194942948,0.033319115499016914,0.6367787707688218,0.16092454899481373,0.08026679242448254,0.47368421052631576,-0.10427095993243485
POST2021,mix,BTC_BUY_AND_HOLD,476,0.00016433034893601395,-0.00015496817037230192,0.02524749350097362,0.48251784706044065,0.12439262156734426,0.05991666989035882,0.4957983193277311,-0.07377056528962644
POST2021,bull,STATIC45_REBALANCED_SECONDARY,388,0.0013370860074094573,0.0012685663469191202,0.01174874694357253,0.2245363517234666,2.175018256321228,0.02364752450338341,0.520618556701031,0.49189180982984876
POST2021,bear,STATIC45_REBALANCED_SECONDARY,380,0.00012047602971905185,8.351876851240526e-06,0.014993169467515017,0.286542180981201,0.15356855910079995,0.036126038262130324,0.47368421052631576,0.0031736999503142738
POST2021,mix,STATIC45_REBALANCED_SECONDARY,476,6.979039012479032e-05,5.303951502382189e-06,0.011361578865985785,0.2171369832578214,0.11739566245521862,0.02696850599536118,0.4957983193277311,0.00252467421976503
2021,bull,MEMORY,143,0.002647630490502729,0.002444519640198276,0.020299981723889447,0.38796340224425446,2.4926243843157327,0.0375876028105478,0.5244755244755245,0.34913974271922465
2021,bear,MEMORY,123,0.0004661080972738311,0.0003145068571017032,0.017452512046336875,0.33354394320648617,0.5104154519870057,0.03908344559040637,0.5121951219512195,0.038678261453055765
2021,mix,MEMORY,98,-0.001180017321872358,-0.0013616183398170631,0.019087147294669943,0.36478429903524856,-1.1815237880406462,0.04968026615504479,0.46938775510204084,-0.1335295260722951
2021,bull,NO_MEMORY,143,0.002647630490502729,0.002444519640198276,0.020299981723889447,0.38796340224425446,2.4926243843157327,0.0375876028105478,0.5244755244755245,0.34913974271922465
2021,bear,NO_MEMORY,123,0.0004661080972738311,0.0003145068571017032,0.017452512046336875,0.33354394320648617,0.5104154519870057,0.03908344559040637,0.5121951219512195,0.038678261453055765
2021,mix,NO_MEMORY,98,-0.001180017321872358,-0.0013616183398170631,0.019087147294669943,0.36478429903524856,-1.1815237880406462,0.04968026615504479,0.46938775510204084,-0.1335295260722951
2021,bull,CASH,143,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021,bear,CASH,123,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021,mix,CASH,98,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021,bull,BTC_BUY_AND_HOLD,143,0.005794997776060086,0.004902768486721815,0.04276395354699994,0.8172839334128507,2.5898257033724588,0.07697494637154079,0.5244755244755245,0.6993828350459113
2021,bear,BTC_BUY_AND_HOLD,123,0.001428237361561911,0.0004515449999409037,0.0443257319023074,0.8471318836483659,0.6157998611312147,0.094636733797031,0.5121951219512195,0.05552749935364387
2021,mix,BTC_BUY_AND_HOLD,98,-0.002296722911224978,-0.0030783017275373423,0.03945394468572321,0.7540246498949587,-1.112533978089158,0.10123484028777191,0.46938775510204084,-0.30213884551916087
2021,bull,STATIC45_REBALANCED_SECONDARY,143,0.0026002434731003028,0.0024179970102108325,0.01924391204749052,0.3677803109373025,2.582353922452887,0.034646459179734634,0.5244755244755245,0.3453562053874356
2021,bear,STATIC45_REBALANCED_SECONDARY,123,0.0006343506385163314,0.0004370217841163219,0.01994493464619183,0.3811779147451034,0.607843638771746,0.042593400809319684,0.5121951219512195,0.053741937102842405
2021,mix,STATIC45_REBALANCED_SECONDARY,98,-0.0010407137681486787,-0.0011976163588068639,0.017754000578065608,0.3393058457588149,-1.120289286399451,0.045562052756323954,0.46938775510204084,-0.11743673928801124
2022,bear,MEMORY,321,-0.0005922615891585811,-0.0006890121778536515,0.013918152784160288,0.2659969836693817,-0.8132556334136817,0.03568564886345118,0.45482866043613707,-0.22124913952271813
