scope,strategy,first_return_date,last_return_date,days,arithmetic_mean_daily,geometric_mean_daily,daily_volatility,annualized_volatility,sharpe_zero_cash_rate,daily_loss_cvar95,positive_day_fraction,log_growth_contribution,cumulative_return,annualized_geometric_return,maximum_drawdown_loss
FULL,MEMORY,2021-01-02,2025-05-28,1608,0.0005835897809402376,0.00047988885710737047,0.014412089732629052,0.27543686699679243,0.7738839386773306,0.03300280936595097,0.4987562189054726,0.7714761856180834,1.1629568240247372,0.191529005794759,0.4561240632345699
FULL,NO_MEMORY,2021-01-02,2025-05-28,1608,0.0005838248888262984,0.00048001901178756814,0.014419369003029441,0.27557598488117296,0.7738048753985383,0.03300280936595097,0.4987562189054726,0.7716853739430817,1.163409336668329,0.19158562406013993,0.4561240632345699
FULL,CASH,2021-01-02,2025-05-28,1608,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0
FULL,BTC_BUY_AND_HOLD,2021-01-02,2025-05-28,1608,0.0013189721085735695,0.0008084883273541382,0.03198447292317162,0.6112717293562857,0.7881185069098801,0.07275942471402626,0.4987562189054726,1.2995239761604518,2.6675504105940386,0.34336955698007815,0.7663750834840114
FULL,STATIC45_REBALANCED_SECONDARY,2021-01-02,2025-05-28,1608,0.000588097315783452,0.00048472663802809243,0.014392763638224396,0.27506751605651547,0.780908439024012,0.03274780588301049,0.4987562189054726,0.779251587202195,1.179840234529257,0.19363528140308925,0.4504661755835412
POST2021,MEMORY,2022-01-01,2025-05-28,1244,0.0004968742839138438,0.0004158321798336236,0.012743100892798677,0.24353996199385422,0.7451891291832886,0.029232989664381957,0.4967845659163987,0.5171877075180983,0.6773039413233752,0.16398694496199698,0.37086594603711553
POST2021,NO_MEMORY,2022-01-01,2025-05-28,1244,0.0004971781854257295,0.0004160004075907225,0.012753744703702738,0.24374338134404624,0.7450226185646676,0.02923323770984289,0.4967845659163987,0.5173968958430964,0.6776548504271374,0.16405843881997992,0.37086594603711553
POST2021,CASH,2022-01-01,2025-05-28,1244,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0
POST2021,BTC_BUY_AND_HOLD,2022-01-01,2025-05-28,1244,0.0010784791948855637,0.0006809009098440369,0.028212716827548903,0.539187756710574,0.7305702346342373,0.06456968003311366,0.4967845659163987,0.8467524872800574,1.3320611430240485,0.28224753646792045,0.6695253257363101
POST2021,STATIC45_REBALANCED_SECONDARY,2022-01-01,2025-05-28,1244,0.00048053897738545764,0.0004000721168355642,0.012695644642212423,0.24263300115587808,0.7233841260417773,0.02906204514894838,0.4967845659163987,0.49759018399992816,0.644752939197121,0.15730857800761552,0.3685415003802778
2021,MEMORY,2021-01-02,2021-12-31,364,0.0008799471389095614,0.0006988387941793383,0.01906198344792449,0.3643033798043987,0.8822336280802099,0.041536724851708125,0.5054945054945055,0.25428847809998534,0.2895437557478029,0.290670333138155,0.2731874942261675
2021,NO_MEMORY,2021-01-02,2021-12-31,364,0.0008799471389095614,0.0006988387941793383,0.01906198344792449,0.3643033798043987,0.8822336280802099,0.041536724851708125,0.5054945054945055,0.25428847809998534,0.2895437557478029,0.290670333138155,0.2731874942261675
2021,CASH,2021-01-02,2021-12-31,364,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0
2021,BTC_BUY_AND_HOLD,2021-01-02,2021-12-31,364,0.002140876461946867,0.0012446516534523968,0.04245492119445227,0.811377857016888,0.9637373277612351,0.09030030800859082,0.5054945054945055,0.45277148888039453,0.5726647740625816,0.5751119293811824,0.5311083097658351
2021,STATIC45_REBALANCED_SECONDARY,2021-01-02,2021-12-31,364,0.0009556868019568173,0.0007740945203772019,0.019104117537246283,0.36510862607831573,0.956056853994606,0.0406414864535364,0.5054945054945055,0.28166140320226685,0.3253298915479257,0.32661242887097863,0.2691415855101693
2022,MEMORY,2022-01-01,2022-12-31,365,-0.0010585210078618325,-0.0011617536852128539,0.014345853712151094,0.27417099630758346,-1.4101593652444278,0.038683247891433035,0.4575342465753425,-0.42428660111227845,-0.34576364982891183,-0.3459537480394074,0.37086594603711553
2022,NO_MEMORY,2022-01-01,2022-12-31,365,-0.0010585210078618325,-0.0011617536852128539,0.014345853712151094,0.27417099630758346,-1.4101593652444278,0.038683247891433035,0.4575342465753425,-0.42428660111227845,-0.34576364982891183,-0.3459537480394074,0.37086594603711553
2022,CASH,2022-01-01,2022-12-31,365,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0
2022,BTC_BUY_AND_HOLD,2022-01-01,2022-12-31,365,-0.002245336092687691,-0.00281186750536664,0.03350033775810222,0.6402422026651365,-1.2809355653849601,0.08817034893147946,0.4575342465753425,-1.0277773044003378,-0.6421986391025426,-0.6424504272614163,0.6695253257363101
2022,STATIC45_REBALANCED_SECONDARY,2022-01-01,2022-12-31,365,-0.0010160606093321024,-0.0011298984965255848,0.015074870681021467,0.288103614936688,-1.2881342625294887,0.039683983436326516,0.4575342465753425,-0.4126461192726376,-0.3381035262068458,-0.3382905744377291,0.3685415003802778
2023,MEMORY,2023-01-01,2023-12-31,365,0.0013343120887020837,0.0012761963335059469,0.01083776170729297,0.20712604384888456,2.352951281945033,0.020932066411443642,0.5041095890410959,0.4655146808060594,0.5928337789286349,0.593341728059307,0.0937186920419586
2023,NO_MEMORY,2023-01-01,2023-12-31,365,0.0013343120887020837,0.0012761963335059469,0.01083776170729297,0.20712604384888456,2.352951281945033,0.020932066411443642,0.5041095890410959,0.4655146808060594,0.5928337789286349,0.593341728059307,0.0937186920419586
2023,CASH,2023-01-01,2023-12-31,365,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0
2023,BTC_BUY_AND_HOLD,2023-01-01,2023-12-31,365,0.0028353410144281825,0.002574575044578085,0.023034381048638045,0.4402219155549059,2.35246876388354,0.0448772599382389,0.5041095890410959,0.9385122738708445,1.5561756987192652,1.5578193791931916,0.20020593591198066
2023,STATIC45_REBALANCED_SECONDARY,2023-01-01,2023-12-31,365,0.0012721003692466066,0.001218895651332394,0.01036512081111534,0.1980931603411592,2.345536105674329,0.02020054835682979,0.5041095890410959,0.44462599140775017,0.5599066682202758,0.5603817919666345,0.0937186920419587
2024,MEMORY,2024-01-01,2024-12-31,366,0.0012090362126272152,0.0011217608337627276,0.013264781202494216,0.2535100629814397,1.741944566099616,0.026994333645129896,0.5245901639344263,0.41033435965493426,0.5073216884253073,0.5060547910531213,0.1253210595036629
2024,NO_MEMORY,2024-01-01,2024-12-31,366,0.0012145340499390657,0.0011268340102997157,0.013296786725921021,0.2541217370178089,1.7456537443278832,0.02699559827034877,0.5245901639344263,0.4121890570359918,0.5101199081364922,0.5088449243316379,0.12576386170702203
2024,CASH,2024-01-01,2024-12-31,366,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0
2024,BTC_BUY_AND_HOLD,2024-01-01,2024-12-31,366,0.0025545856352461637,0.0021729483052625666,0.027800420693443337,0.5313081530195268,1.756160521857019,0.05593724736844101,0.5245901639344263,0.7944362575183307,1.21319297415577,1.2095929529224405,0.2613995781913143
2024,STATIC45_REBALANCED_SECONDARY,2024-01-01,2024-12-31,366,0.0011445855715149886,0.0010669193392747684,0.01251016620705533,0.2390882272873478,1.7485590350435989,0.02517692182674784,0.5245901639344263,0.3902843142357603,0.4774007802495104,0.4762196822215753,0.11549728995492958
2025,MEMORY,2025-01-01,2025-05-28,148,0.0005063554787876307,0.00044351229662566074,0.01125816583668411,0.21516060361226497,0.859573432692487,0.024610116547558427,0.5067567567567568,0.06562526816938286,0.06782649360569248,0.17580962638500267,0.13037521345149206
2025,NO_MEMORY,2025-01-01,2025-05-28,148,0.0004953138911163364,0.0004323891229236239,0.011265466744320227,0.21530013501699752,0.8402846506155656,0.024610116547558427,0.5067567567567568,0.06397975911332349,0.0660708203244591,0.1710443919721232,0.13037521345149206
2025,CASH,2025-01-01,2025-05-28,148,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0
2025,BTC_BUY_AND_HOLD,2025-01-01,2025-05-28,148,0.0012925539155558493,0.0009570878536559588,0.026039905957608817,0.4976620494956149,0.9486464120285183,0.05643062602315703,0.5067567567567568,0.14158126029122012,0.15209411996083833,0.41822935092993213,0.2811368423432411
2025,STATIC45_REBALANCED_SECONDARY,2025-01-01,2025-05-28,148,0.0005771463265150641,0.0005090889852733433,0.011718552276827957,0.22395928590147768,0.941254545044235,0.025400063962081915,0.5067567567567568,0.07532599762905524,0.07823559584421536,0.20429873721022332,0.13201469978824687
