decision_date,return_date,prob_bear,prob_bull,prob_mix,canonical_asset_simple_return,exposure_cash,exposure_buy_and_hold,exposure_trend,exposure_volatility_target,exposure_drawdown_control,exposure_specialist_atp
2021-01-01,2021-01-02,1.3822076509313222e-26,0.99999999999949363,5.0625768357105111e-13,0.096505778289435407,0,1,1,0.33976369755308516,1,0
2021-01-02,2021-01-03,8.6867971685061611e-27,0.99999999999962563,3.7433930129560642e-13,0.023781345807978749,0,1,1,0.34148747167390475,1,0
2021-01-03,2021-01-04,6.4694897100760068e-30,0.99999999999999323,6.7728504697806055e-15,-0.028408108280312816,0,1,1,0.30892404739393065,1,0
2021-01-04,2021-01-05,4.9827050240378674e-32,0.99999999999999956,3.1440605277355787e-16,0.061484701429615374,0,1,1,0.31212501926524722,1,0
2021-01-05,2021-01-06,5.6192631318445794e-30,0.99999999999999556,4.3429553039174635e-15,0.082423547063236402,0,1,1,0.31052239606631732,1,0
2021-01-06,2021-01-07,1.3258353997919832e-31,0.99999999999999922,6.6289381864454449e-16,0.072486220279834424,0,1,1,0.29855191122339308,1,0
2021-01-07,2021-01-08,3.9985980558053269e-36,1,2.1968043081084025e-18,0.02886706098803371,0,1,1,0.28116312139953437,1,0
2021-01-08,2021-01-09,2.516241381163636e-40,1,1.0941871716125954e-20,-0.011019894431677391,0,1,1,0.27430072544747175,1,0
2021-01-09,2021-01-10,5.9332842790265787e-42,1,1.2451458892065317e-21,-0.048807154829534904,0,1,1,0.2727312758370482,1,0
2021-01-10,2021-01-11,2.9054209572251585e-41,1,2.3009882999314254e-21,-0.069330910500049581,0,1,1,0.27311986466234434,1,0
2021-01-11,2021-01-12,4.954340585009968e-38,1,1.5056677068369944e-19,-0.041306200994252418,0,1,1,0.26709536869277578,1,0
2021-01-12,2021-01-13,1.4216618415499967e-31,0.99999999999999922,6.9670035617936204e-16,0.097021079290176893,0,1,1,0.25932294942518913,0.5,0
2021-01-13,2021-01-14,1.0984709243755711e-26,0.99999999999968681,3.1338396009295272e-13,0.047977379608476811,0,1,1,0.25666257996514513,0.5,0
2021-01-14,2021-01-15,6.2380434256043657e-30,0.99999999999999156,8.4852120064043066e-15,-0.059473091737990535,0,1,1,0.24096550101130523,1,0
2021-01-15,2021-01-16,1.652325844557015e-32,0.99999999999999956,2.6615127419984834e-16,-0.022425893860358648,0,1,1,0.23778777847207097,1,0
2021-01-16,2021-01-17,3.0511112292999927e-28,0.99999999999992994,7.0014541659307168e-14,-0.0049945168589237143,0,1,1,0.24604540182204651,0.5,0
2021-01-17,2021-01-18,1.1220003877802323e-24,0.99999999999232003,7.6800174196007312e-12,0.021585062333284943,0,1,1,0.25300247461699232,0.5,0
2021-01-18,2021-01-19,9.45363257858568e-24,0.99999999996670963,3.3290539747094999e-11,-0.016668851670981977,0,1,1,0.25332355354500746,0.5,0
2021-01-19,2021-01-20,9.966876365844089e-24,0.99999999995576683,4.4233128743336766e-11,-0.014626599523927197,0,1,1,0.25411853249669791,0.5,0
2021-01-20,2021-01-21,7.8973783340714613e-22,0.99999999945296736,5.470325472945287e-10,-0.13062805309460135,0,1,1,0.25388262731321515,0.5,0
2021-01-21,2021-01-22,3.6584205405918443e-22,0.99999999959248043,4.0751973137974237e-10,0.069982264502092884,0,1,1,0.25557412952489406,0.5,0
2021-01-22,2021-01-23,1.5729985705437694e-13,0.99998800005799804,1.1999941844788204e-05,-0.027623823881456344,0,1,1,0.22695475345479055,0.20000000000000001,0
2021-01-23,2021-01-24,2.5682694058980109e-14,0.99998923125743244,1.0768742541831724e-05,0.0047493058347278794,0,1,1,0.22169930428360796,0.20000000000000001,0
2021-01-24,2021-01-25,9.9435340127836527e-13,0.99994054763358442,5.9452365421230682e-05,0.00034117730984783989,0,1,1,0.2213136539336924,0.20000000000000001,0
2021-01-25,2021-01-26,6.2121846605775831e-12,0.99975597394498839,0.00024402604879940001,0.0077451840643922854,0,1,1,0.22335670068054808,0.20000000000000001,0
2021-01-26,2021-01-27,5.4366370740328064e-11,0.99955673288273195,0.00044326706290139997,-0.064552751976026168,0,1,1,0.22973410146706019,0.20000000000000001,0
2021-01-27,2021-01-28,6.8289999250882927e-12,0.99985830794348418,0.00014169204968660001,0.097710827522694554,0,1,1,0.22974113137710539,0.20000000000000001,0
2021-01-28,2021-01-29,3.3017673296720925e-08,0.99221638081704444,0.0077835861652823003,0.027775447343504567,0,1,1,0.22495516727042156,0.20000000000000001,0
2021-01-29,2021-01-30,4.9416659070427356e-09,0.99217690364015221,0.0078230914181818007,-0.00054516089534673018,0,1,1,0.21391776024704529,0.5,0
2021-01-30,2021-01-31,1.0974394855376775e-09,0.99855326090885677,0.0014467379937034,-0.034273446683642961,0,1,1,0.21666489784753262,0.5,0
2021-01-31,2021-02-01,1.1553993054078034e-09,0.99771531527533242,0.0022846835692681001,0.012311186688453768,0,1,1,0.21667698456998447,0.5,0
2021-02-01,2021-02-02,3.6430535304816106e-08,0.99008664469351138,0.0099133188759533003,0.058763504864884242,0,1,1,0.2154740381089531,0.20000000000000001,0
2021-02-02,2021-02-03,4.5983316544060341e-07,0.94033294399962164,0.059666596167213003,0.060915536618083133,0,1,1,0.22566664783678267,0.5,0
2021-02-03,2021-02-04,2.8358253182073616e-08,0.98448180815624364,0.0155181634855029,-0.017656215136479192,0,1,1,0.22229429594741851,0.5,0
2021-02-04,2021-02-05,6.316668263074005e-10,0.9963585374608076,0.0036414619075255,0.035571262854191543,0,1,1,0.21931810564912219,1,0
2021-02-05,2021-02-06,5.8373227163090593e-09,0.9947784182281072,0.0052215759345700004,0.025040733622994749,0,1,1,0.22365132710389235,1,0
2021-02-06,2021-02-07,1.3344731874477851e-09,0.99702601994673723,0.0029739787187893999,-0.01028362109810832,0,1,1,0.23050562412623182,1,0
2021-02-07,2021-02-08,5.564989538147515e-10,0.99886063653332324,0.0011393629101776001,0.19413737455891322,0,1,0,0.23676924037962985,1,0
2021-02-08,2021-02-09,2.8160845853092085e-09,0.99667621259295835,0.0033237845909570001,0.00243341516562956,0,1,0,0.23787513287825129,1,0
2021-02-09,2021-02-10,2.2868976029907903e-14,0.99998764848496124,1.2351515015879152e-05,-0.035963241207002561,0,1,1,0.20016514583377312,1,0
2021-02-10,2021-02-11,3.9587897624899452e-16,0.99999956538354118,4.3461645824264516e-07,0.070360870728878533,0,1,1,0.20278950197332138,1,0
2021-02-11,2021-02-12,7.8282889509070246e-15,0.9999986319124714,1.3680875206419412e-06,-0.012898332385232969,0,1,1,0.20691829048405547,1,0
2021-02-12,2021-02-13,1.7288527535588828e-17,0.99999994505618117,5.4943818623794801e-08,-0.0042852589204103175,0,1,1,0.20403764066058799,1,0
2021-02-13,2021-02-14,4.9561613304088333e-16,0.99999973911614115,2.608838582153161e-07,0.031264376588712617,0,1,1,0.21317527319571114,1,0
2021-02-14,2021-02-15,1.0113868455664308e-14,0.99999830492919761,1.6950707921269093e-06,-0.014536401649555719,0,1,1,0.21552104469699332,1,0
2021-02-15,2021-02-16,6.2263528352724891e-16,0.99999962286264443,3.7713735507953125e-07,0.025729979159843319,0,1,1,0.21912547555198825,1,0
2021-02-16,2021-02-17,1.1792955289323429e-15,0.99999961493090417,3.8506909445590483e-07,0.059172620536631193,0,1,1,0.21938214854204549,1,0
2021-02-17,2021-02-18,2.0485777045587335e-16,0.99999984380114337,1.5619885624288761e-07,-0.0095431573449669127,0,1,1,0.21864026684489668,1,0
2021-02-18,2021-02-19,2.4777518600789408e-18,0.99999998328109085,1.6718909219558103e-08,0.083835121417853431,0,1,1,0.21505253696531557,1,0
2021-02-19,2021-02-20,8.2800156035231526e-19,0.99999999347872237,6.5212775225151475e-09,0.00030586728579451439,0,1,1,0.21532981025796674,1,0
2021-02-20,2021-02-21,2.5381512067422239e-22,0.99999999987304222,1.2695780810048259e-10,0.0270028628291763,0,1,1,0.20809726499471812,1,0
2021-02-21,2021-02-22,2.0905820942210246e-25,0.99999999999776645,2.2336264023085048e-12,-0.057840505068443959,0,1,1,0.23269569797701631,1,0
2021-02-22,2021-02-23,5.4116575827448126e-26,0.99999999999878275,1.217358247908393e-12,-0.096108427367043836,0,1,1,0.23858860697690523,1,0
2021-02-23,2021-02-24,2.6075988640516209e-23,0.9999999999558018,4.4198179157461722e-11,0.016076072555978982,0,1,1,0.23428371427532188,1,0
2021-02-24,2021-02-25,3.5207916341070148e-17,0.99999991694013657,8.3059863374814564e-08,-0.055717088384727553,0,1,1,0.22004942976787067,0.5,0
2021-02-25,2021-02-26,5.596896478529478e-17,0.99999991098481156,8.9015188053607551e-08,-0.012421023471877457,0,1,1,0.21967102298420296,0.5,0
2021-02-26,2021-02-27,3.9786650509220453e-14,0.999996602741277,3.3972586832794957e-06,-0.0045074397569564439,0,1,1,0.21610933619331538,0.5,0
2021-02-27,2021-02-28,1.1315930259447481e-13,0.99999078107472961,9.2189251571484515e-06,-0.021082999000795355,0,1,1,0.22106207239725156,0.20000000000000001,0
2021-02-28,2021-03-01,1.4404292729418336e-11,0.99989625785300196,0.00010374213259350001,0.098120184217518336,0,1,1,0.23349859631035233,0.20000000000000001,0
2021-03-01,2021-03-02,8.446421974897408e-10,0.99866182168946438,0.0013381774658932999,-0.023617062031837666,0,1,1,0.23371690624467042,0.20000000000000001,0
2021-03-02,2021-03-03,3.0301963414300923e-12,0.99991381219535602,8.6187801613719285e-05,0.040700724018156276,0,1,1,0.22200278762509684,0.5,0
2021-03-03,2021-03-04,8.2789718622032167e-12,0.99987946336079558,0.0001205366309254,-0.039033556833898531,0,1,1,0.22291110282571733,0.5,0
2021-03-04,2021-03-05,8.6338643269224928e-12,0.9998568993731084,0.0001431006182575,0.0075266374824480842,0,1,1,0.22128493736196642,0.5,0
2021-03-05,2021-03-06,5.4026284766558954e-10,0.99904402304990658,0.00095597640983039996,0.0012932315417328866,0,1,1,0.22338186058171114,0.5,0
2021-03-06,2021-03-07,1.5656669085262931e-09,0.99710698437410161,0.0028930140602312,0.04353032201016882,0,1,1,0.22797507935717792,0.5,0
2021-03-07,2021-03-08,1.195844056231556e-09,0.99726641239381075,0.0027335864103451,0.026061986218746558,0,1,1,0.22843616415509266,0.5,0
2021-03-08,2021-03-09,1.290083480742732e-09,0.99665217777722537,0.0033478209326908998,0.049091013362390301,0,1,1,0.22778919091215855,0.5,0
2021-03-09,2021-03-10,4.2035794111622246e-11,0.99959709516591622,0.00040290479204790002,0.01772809271305964,0,1,1,0.22753881434039636,1,0
2021-03-10,2021-03-11,9.2236190813692258e-13,0.99994851160353004,5.1488395547624527e-05,0.034870792220139224,0,1,1,0.22478834702271769,1,0
2021-03-11,2021-03-12,1.6310857655168297e-12,0.99995369796871503,4.6302029653797103e-05,-0.0092457547210615942,0,1,1,0.28236198675373436,1,0
2021-03-12,2021-03-13,6.5896349705284623e-14,0.99999133407660035,8.66592333360947e-06,0.068631679679246327,0,1,1,0.27944154836785462,1,0
2021-03-13,2021-03-14,5.5512275328841896e-14,0.99999232625982315,7.6737401211420814e-06,-0.034015684211042396,0,1,1,0.28260085352489489,1,0
2021-03-14,2021-03-15,1.9582455291584919e-15,0.99999839400870738,1.6059912904993366e-06,-0.05620355349098427,0,1,1,0.28316089355061758,1,0
2021-03-15,2021-03-16,1.0389378886231656e-13,0.99999439789586164,5.6021040343411528e-06,0.019687657394611646,0,1,1,0.28024206281798786,1,0
2021-03-16,2021-03-17,5.884183555188156e-11,0.99981929593648877,0.00018070400466939999,0.035574102166121557,0,1,1,0.27184908223892285,1,0
2021-03-17,2021-03-18,3.8845409459982711e-11,0.99978350726497178,0.00021649269618269999,-0.02134485304726419,0,1,1,0.27276098199671334,1,0
2021-03-18,2021-03-19,2.1194699448095346e-12,0.99994145371761123,5.8546280269476096e-05,0.0074927154155681741,0,1,1,0.2705263282463693,1,0
2021-03-19,2021-03-20,1.00156119345284e-10,0.99964615028705039,0.0003538496127934,9.2962401873064593e-05,0,1,1,0.27092271129317652,1,0
2021-03-20,2021-03-21,2.8146149165337843e-10,0.99921445396261455,0.00078554575592369995,-0.012214812698172262,0,1,1,0.27928532190029565,1,0
2021-03-21,2021-03-22,1.2213190503920144e-10,0.99968385585092245,0.00031614402694569999,-0.056209243723838398,0,1,1,0.27961400481663928,1,0
2021-03-22,2021-03-23,5.076508753212763e-10,0.99891689382729765,0.0010831056650512001,0.0054322236850121719,0,1,1,0.29784179526124033,1,0
2021-03-23,2021-03-24,5.1365115386005001e-08,0.98361391694151723,0.0163860316933673,-0.039063403884119108,0,1,0,0.28759741089851726,0.5,0
2021-03-24,2021-03-25,1.2173737714347557e-07,0.97018026847521843,0.029819609787404101,-0.019170422013018551,0,1,0,0.28961427669698458,0.5,0
2021-03-25,2021-03-26,3.7141172033022681e-07,0.96172734555401795,0.038272283034261501,0.072362306443787494,0,1,0,0.2954756821582194,0.5,0
2021-03-26,2021-03-27,2.9551366365606956e-07,0.94913152578531645,0.050868178701019902,0.01502286680923981,0,1,1,0.33160774660500542,0.5,0
2021-03-27,2021-03-28,1.0982973172275966e-08,0.98762005873792003,0.0123799302791069,-0.0017489245993316249,0,1,1,0.31347026924809535,0.5,0
2021-03-28,2021-03-29,5.7185143872994715e-10,0.9972743993663522,0.0027256000617963002,0.033192743861763185,0,1,1,0.32413275103642181,1,0
2021-03-29,2021-03-30,1.5833368562328836e-10,0.99871666515920765,0.0012833346824585,0.02004818089356819,0,1,1,0.32521715152169972,1,0
2021-03-30,2021-03-31,2.8931505717056817e-11,0.99946241123608881,0.00053758873497970002,-0.00012931481862754612,0,1,1,0.3213122656732848,1,0
2021-03-31,2021-04-01,5.8045945312685126e-12,0.99978520462260279,0.00021479537159250001,-0.00077258579701400265,0,1,1,0.32117460628875616,1,0
2021-04-01,2021-04-02,4.1535287590946301e-11,0.99923689923461945,0.00076310072384529995,0.0044108906422699601,0,1,1,0.36013291465204622,1,0
2021-04-02,2021-04-03,4.1583414891450032e-11,0.99934027859189756,0.00065972136651899999,-0.032510813482475531,0,1,1,0.36294188667274641,1,0
2021-04-03,2021-04-04,2.2099343515450876e-10,0.9987293356906134,0.0012706640883932,0.019979004519811605,0,1,1,0.37093695941150212,1,0
2021-04-04,2021-04-05,4.4188651786434355e-09,0.99407094031376642,0.0059290552673684997,0.013634044044749327,0,1,1,0.37426836433238936,1,0
