variant,rows,terminal_growth,annualized_return,annualized_volatility,sharpe_zero_cash_rate,maximum_drawdown,daily_loss_cvar_95,mean_exposure,mean_daily_turnover,total_turnover
trusted_router,1094,0.30212407900988869,0.09214069669085756,0.29149395693281988,0.44815362384544949,0.46596854972859214,0.036218010895039024,0.4459780621572213,0.0086331076938519248,9.4446198170740061
frozen_trust,1094,0.29298949242877836,0.089576770418004825,0.30375571054986922,0.43437481911167386,0.48502448895360117,0.037680432972008508,0.47390310786106038,0.0068930760896992998,7.5410252421310338
no_risk_projection,1094,0.37946516944961406,0.1133833997530298,0.30778321790459923,0.50267039467223007,0.46827220057133767,0.037956749510449514,0.46151736745886657,0.0084238716851183764,9.2157156235195039
cash,1094,0,0,0,0,-0,0,0,0,0
constant_matched_mean_exposure,1094,0.36605029023549451,0.10975674938688362,0.2895496131324648,0.50427098274275062,0.44729754296779201,0.035391199858127213,0.4459780621572213,0.0061335411499269157,6.7100940180200457
constant_50_percent,1094,0.39564897205132743,0.11772748314749171,0.32462370166838128,0.50497147213668503,0.48868388833738075,0.039677509961927988,0.5,0.0062506631853828697,6.838225524808859
buy_and_hold,1094,0.43836414633564269,0.12903427706289694,0.64926375450134965,0.51146233834620625,0.76637508348401151,0.079343151836730019,1,0.00091407678244972577,1
