Date,Close
2015-01-01,314.89999999999998
2015-01-02,315.19999999999999
2015-01-03,287.10000000000002
2015-01-04,264.69999999999999
2015-01-05,274.80000000000001
2015-01-06,282.30000000000001
2015-01-07,291.30000000000001
2015-01-08,282.69999999999999
2015-01-09,288
2015-01-10,273.39999999999998
2015-01-11,264.80000000000001
2015-01-12,269.30000000000001
2015-01-13,221.30000000000001
2015-01-14,164.90000000000001
2015-01-15,209.80000000000001
2015-01-16,206.90000000000001
2015-01-17,199.59999999999999
2015-01-18,210.59999999999999
2015-01-19,215.90000000000001
2015-01-20,210.59999999999999
2015-01-21,228.19999999999999
2015-01-22,232.69999999999999
2015-01-23,232.19999999999999
2015-01-24,248.19999999999999
2015-01-25,252.09999999999999
2015-01-26,269.19999999999999
2015-01-27,263.30000000000001
2015-01-28,236.19999999999999
2015-01-29,234
2015-01-30,231.80000000000001
2015-01-31,218.5
2015-02-01,225.30000000000001
2015-02-02,238.90000000000001
2015-02-03,227.40000000000001
2015-02-04,226.59999999999999
2015-02-05,216.5
2015-02-06,223
2015-02-07,227.69999999999999
2015-02-08,223.69999999999999
2015-02-09,220.30000000000001
2015-02-10,219.69999999999999
2015-02-11,218.80000000000001
2015-02-12,221.80000000000001
2015-02-13,236.19999999999999
2015-02-14,258.60000000000002
2015-02-15,233.30000000000001
2015-02-16,235.80000000000001
2015-02-17,243.19999999999999
2015-02-18,235.19999999999999
2015-02-19,241.90000000000001
2015-02-20,244.5
2015-02-21,244.40000000000001
2015-02-22,235.69999999999999
2015-02-23,238.80000000000001
2015-02-24,238.90000000000001
2015-02-25,237.30000000000001
2015-02-26,236.5
2015-02-27,253.5
2015-02-28,254.09999999999999
2015-03-01,257.89999999999998
2015-03-02,273.80000000000001
2015-03-03,280.60000000000002
2015-03-04,271.89999999999998
2015-03-05,275.19999999999999
2015-03-06,272.60000000000002
2015-03-07,274.89999999999998
2015-03-08,274.5
2015-03-09,290
2015-03-10,291.39999999999998
2015-03-11,295.60000000000002
2015-03-12,293.89999999999998
2015-03-13,287.19999999999999
2015-03-14,281.60000000000002
2015-03-15,284.89999999999998
2015-03-16,290.39999999999998
2015-03-17,285.39999999999998
2015-03-18,255.90000000000001
2015-03-19,260.89999999999998
2015-03-20,261.80000000000001
2015-03-21,259.69999999999999
2015-03-22,268.60000000000002
2015-03-23,265.5
2015-03-24,246.69999999999999
2015-03-25,246.40000000000001
2015-03-26,248
2015-03-27,247.19999999999999
2015-03-28,252
2015-03-29,242.09999999999999
2015-03-30,246.80000000000001
2015-03-31,244.09999999999999
2015-04-01,246.19999999999999
2015-04-02,252.59999999999999
2015-04-03,254.5
2015-04-04,252.90000000000001
2015-04-05,259.60000000000002
2015-04-06,255
2015-04-07,253
2015-04-08,244.59999999999999
2015-04-09,243.30000000000001
2015-04-10,234.69999999999999
2015-04-11,236.5
2015-04-12,235.90000000000001
2015-04-13,223.59999999999999
2015-04-14,218
2015-04-15,223
2015-04-16,228
2015-04-17,222.59999999999999
2015-04-18,223.40000000000001
2015-04-19,223
2015-04-20,224.19999999999999
2015-04-21,233.69999999999999
2015-04-22,233.80000000000001
2015-04-23,235.40000000000001
2015-04-24,231.09999999999999
2015-04-25,226.09999999999999
2015-04-26,218.69999999999999
