scope,rows,growth_delta_vs_pre_agent_ramoe,sharpe_delta_vs_pre_agent_ramoe,maximum_drawdown_loss_delta_vs_pre_agent_ramoe,daily_cvar_95_delta_vs_pre_agent_ramoe,mean_daily_log_advantage,lower_one_sided_95_bound,one_sided_p_value,metric_pattern,economic_value_established
FULL_2021_2025,1608,0.16508603487669449,0.059658530188735126,-0.0098444864940187005,6.0693611320848662e-05,4.8782251885240979e-05,8.7311742862465946e-06,0.020995800839832032,MIXED_METRIC_FINDING_DO_NOT_REJECT_ARCHITECTURE,False
2021,364,0.019299668956628269,0.043943874587266119,-0.010877677234639838,-0.00070130660708057208,4.1426927946928417e-05,-1.1157676464495571e-17,0.28914217156568689,BETTER_ON_ALL_REPORTED_PROFIT_AND_RISK_METRICS,False
2022,365,0.0080129748371712273,0.01240679368423292,-0.011387710465735834,-0.00085407199740449719,3.3762881111019127e-05,-3.3574238384385352e-05,0.3209358128374325,BETTER_ON_ALL_REPORTED_PROFIT_AND_RISK_METRICS,False
2023,365,0.0065440042129367715,0.00072029016283270408,1.8873791418627661e-15,0.00015859282136872904,1.1279086003026549e-05,-6.7893483793237917e-06,0.30533893221355729,MIXED_METRIC_FINDING_DO_NOT_REJECT_ARCHITECTURE,False
2024,366,0.057252501601394279,0.05218377815525721,0.0018946839149501793,0.0016734095789216787,0.0001054938409681018,-1.7470008574334812e-05,0.087382523495300943,MIXED_METRIC_FINDING_DO_NOT_REJECT_ARCHITECTURE,False
2025,148,0.0089160031907902226,0.052409204350227112,0.0054127507128290953,0.0015615861770836813,5.6158077485362277e-05,-8.5363245991192072e-05,0.31753649270145973,MIXED_METRIC_FINDING_DO_NOT_REJECT_ARCHITECTURE,False
