return_year,rows,variant,terminal_growth,sharpe_zero_cash_rate,maximum_drawdown_loss,daily_loss_cvar_95,mean_exposure,mean_daily_turnover
2021,364,ramas_full_continuous_llama70b_memory_trust,0.2895437557478111,0.88223362808021022,0.27318749422616517,0.041536724851708069,0.45247252747252759,0.01147013552501047
2021,364,pre_agent_ramoe_internal_control,0.27024408679118284,0.8382897534929441,0.28406517146080501,0.042238031458788641,0.45329670329670335,0.011469596767280623
2021,364,llama70b_frozen_agent_trust_ablation,0.28819888859689491,0.87786013634604809,0.27305500520191672,0.041553120586790192,0.45521978021978027,0.012515333414688964
2021,364,deterministic_same_information_ablation,0.29128532173100852,0.88521916876281526,0.27318749422616517,0.041536724851708069,0.45398351648351654,0.011482713733746432
2021,364,llama70b_unblended_shadow_diagnostic,0.23126082866972308,0.78720456337001798,0.18122403882598637,0.041871577267818698,0.33447802197802196,0.022444896294673413
2021,364,buy_and_hold_external_reference,0.57266477406258742,0.96373732776123833,0.53110830976583456,0.090300308008590763,1,0.0027472527472527475
2021,364,cash_only_external_reference,0,0,-0,0,0,0
2022,365,ramas_full_continuous_llama70b_memory_trust,-0.3457636498289115,-1.4101593652444278,0.3708659460371152,0.038683247891433035,0.41520547945205483,0.0092394077100122207
2022,365,pre_agent_ramoe_internal_control,-0.35377662466608273,-1.4225661589286607,0.38225365650285104,0.039537319888837533,0.42616438356164388,0.0079114568014362428
2022,365,llama70b_frozen_agent_trust_ablation,-0.33308735657486299,-1.363396279090725,0.36253333512241359,0.03771364649696534,0.4123287671232877,0.0099598169269119671
2022,365,deterministic_same_information_ablation,-0.34523003428963694,-1.4076836369958923,0.37033340235721102,0.038683247891433035,0.41452054794520549,0.0089989025803011904
2022,365,llama70b_unblended_shadow_diagnostic,-0.17132044742108377,-1.5709365011277268,0.20343861584692824,0.018228004665238613,0.059315068493150679,0.014609977596554436
2022,365,buy_and_hold_external_reference,-0.64219863910254027,-1.2809355653849477,0.66952532573630807,0.088170348931479472,1,0
2022,365,cash_only_external_reference,0,0,-0,0,0,0
2023,365,ramas_full_continuous_llama70b_memory_trust,0.59283377892863598,2.3529512819450331,0.093718692041958707,0.020932066411443642,0.46246575342465757,0.0067689193652460617
2023,365,pre_agent_ramoe_internal_control,0.58628977471569921,2.3522309917822004,0.093718692041956819,0.020773473590074913,0.45849315068493157,0.0065260407157796624
2023,365,llama70b_frozen_agent_trust_ablation,0.60296559569688402,2.315712342398538,0.096430234982086471,0.021926812491661365,0.47890410958904112,0.0091393564720277081
2023,365,deterministic_same_information_ablation,0.58692205314056389,2.3209038350684899,0.093718692041958818,0.021284143665239254,0.46589041095890416,0.0072142428320010245
2023,365,llama70b_unblended_shadow_diagnostic,0.78912467010529674,2.1796320178762292,0.11846277563024699,0.029923920968601532,0.6035616438356165,0.024631337545041345
2023,365,buy_and_hold_external_reference,1.5561756987192874,2.3524687638835595,0.20020593591197966,0.044877259938238913,1,0
2023,365,cash_only_external_reference,0,0,-0,0,0,0
2024,366,ramas_full_continuous_llama70b_memory_trust,0.5116230918778939,1.7550867025855887,0.12282501168358118,0.026833053496771259,0.46994535519125685,0.010497239212299739
2024,366,pre_agent_ramoe_internal_control,0.45437059027649962,1.7029029244303315,0.120930327768631,0.02515964391784958,0.444945355191257,0.0068677099020444483
2024,366,llama70b_frozen_agent_trust_ablation,0.4858639869973298,1.7469130266717292,0.12314682519492615,0.025900057707843573,0.4531420765027323,0.0072671475054879439
2024,366,deterministic_same_information_ablation,0.50917782091179098,1.7536676685835439,0.12402091478798905,0.026994333645129896,0.47076502732240438,0.0092163342623433897
2024,366,llama70b_unblended_shadow_diagnostic,0.51710906185681238,1.4205028521120076,0.24043669349351027,0.036937035848958286,0.54959016393442628,0.046518981319490268
2024,366,buy_and_hold_external_reference,1.213192974155791,1.7561605218570364,0.26139957819131154,0.055937247368441009,1,0
2024,366,cash_only_external_reference,0,0,-0,0,0,0
2025,148,ramas_full_continuous_llama70b_memory_trust,0.077208606614389552,0.94762209040602752,0.13037521345149228,0.024865012239287512,0.45439189189189189,0.012401733768034341
2025,148,pre_agent_ramoe_internal_control,0.06829260342359933,0.89521288605580041,0.12496246273866318,0.023303426062203831,0.418581081081081,0.0052515499287864526
2025,148,llama70b_frozen_agent_trust_ablation,0.055694254691210254,0.77011090950818151,0.13382429806884721,0.023134613701963912,0.41587837837837843,0.0083238369824206477
2025,148,deterministic_same_information_ablation,0.063791143162138519,0.81841863392663805,0.13044581576417535,0.024610116547558427,0.44527027027027033,0.012516430436913068
2025,148,llama70b_unblended_shadow_diagnostic,-0.012814945861686078,-0.034263963441606059,0.18910183939132141,0.028419859104863353,0.42804054054054058,0.054505264566268453
2025,148,buy_and_hold_external_reference,0.15209411996084232,0.94864641202853406,0.28113684234323999,0.056430626023157023,1,0
2025,148,cash_only_external_reference,0,0,-0,0,0,0
