period,variant,old_terminal_growth,corrected_terminal_growth,terminal_growth_change,old_sharpe,corrected_sharpe,old_maximum_drawdown,corrected_maximum_drawdown
pre2024,trusted_router,0.37150568507889825,0.30212407900988869,-0.06938160606900956,0.50820283477831174,0.44815362384544949,0.46008268999889479,0.46596854972859214
pre2024,frozen_trust,0.3316208839509891,0.29298949242877836,-0.038631391522210734,0.46676688596136962,0.43437481911167386,0.48535756320821388,0.48502448895360117
pre2024,no_risk_projection,0.43595750935097266,0.37946516944961406,-0.056492339901358601,0.54584359144475059,0.50267039467223007,0.46173284014527738,0.46827220057133767
pre2024,cash,0,0,0,0,0,-0,-0
pre2024,constant_matched_mean_exposure,0.37132626308173,0.36605029023549451,-0.0052759728462354882,0.50923632315277978,0.50427098274275062,0.44647712411762952,0.44729754296779201
pre2024,constant_50_percent,0.40274456087287924,0.39564897205132743,-0.0070955888215518126,0.50996109220637231,0.50497147213668503,0.48913700824266504,0.48868388833738075
pre2024,buy_and_hold,0.45194445584309895,0.43836414633564269,-0.013580309507456256,0.51648383888565752,0.51146233834620625,0.76672708341938212,0.76637508348401151
