year,policy,rows,terminal_growth,annualized_return,annualized_volatility,sharpe,maximum_drawdown,daily_loss_cvar_95,mean_exposure,total_turnover
2021,RECORDED_AGENT_DEPLOYED,364,0.35192074265674855,0.35332132937502236,0.291930063984722,1.1816422600615741,0.18288448874210284,0.03206376356716909,0.34436813186813187,4.108994339462626
2021,RECORDED_AGENT_CORE_NO_SAFETY_LAYER,364,0.428227550527134,0.42997679787279197,0.3041034099266456,1.3269697361284256,0.1828844887421035,0.03224110694000986,0.3482142857142857,4.618319064963664
2021,DISTILLED_STATIC_CORE_NO_SAFETY_LAYER,364,0.42326350812839664,0.42498963774377674,0.30114982911441107,1.3256277465472848,0.18288448874210328,0.03224110694000986,0.3482142857142857,4.658218613296082
2021,CURRENT_RAMOE_CORE_NO_SAFETY_LAYER,364,0.3395836882420482,0.3409292784155906,0.3986864284844813,0.9345061428187812,0.29208456318365883,0.04471800186076785,0.48781722585215387,3.378963352858464
2022,RECORDED_AGENT_DEPLOYED,365,-0.19367426907794216,-0.19379314778813417,0.15762571457044922,-1.287426940275689,0.21959027597546388,0.02204823795340274,0.2184931506849315,1.7104664146948179
2022,RECORDED_AGENT_CORE_NO_SAFETY_LAYER,365,-0.19367426907794216,-0.19379314778813417,0.15762571457044922,-1.287426940275689,0.21959027597546388,0.02204823795340274,0.2184931506849315,1.7104664146948179
2022,DISTILLED_STATIC_CORE_NO_SAFETY_LAYER,365,-0.19692774151700054,-0.197048364132276,0.1600573708485661,-1.2907272396872747,0.21989636025561288,0.02204823795340274,0.25,1.5626122202737294
2022,CURRENT_RAMOE_CORE_NO_SAFETY_LAYER,365,-0.34423162855549105,-0.3444211216649352,0.28178359782914975,-1.356339328911563,0.369481707297718,0.03922571934328845,0.4316655292456702,2.7106080469011617
2023,RECORDED_AGENT_DEPLOYED,365,0.29989312689001824,0.3001266674799097,0.16745212121946948,1.6509998285051446,0.08148624074648592,0.018600133332023858,0.3595890410958904,6.081136040261407
2023,RECORDED_AGENT_CORE_NO_SAFETY_LAYER,365,0.29989312689001824,0.3001266674799097,0.16745212121946948,1.6509998285051446,0.08148624074648592,0.018600133332023858,0.3595890410958904,6.081136040261407
2023,DISTILLED_STATIC_CORE_NO_SAFETY_LAYER,365,0.3865569424237658,0.38686736045874004,0.17159058239285568,1.9919668184725585,0.08087186328717655,0.019212373537597024,0.3732876712328767,7.388469635376853
2023,CURRENT_RAMOE_CORE_NO_SAFETY_LAYER,365,0.582292065061415,0.5827894537916385,0.2059941706051933,2.332513325306258,0.09812136485297096,0.02103059987739532,0.46554254187598954,1.7178265340483911
