policy,rows,terminal_growth,annualized_return,annualized_volatility,sharpe,maximum_drawdown,daily_loss_cvar_95,mean_exposure,total_turnover
RECORDED_AGENT_DEPLOYED,1094,0.416998524116694,0.12340713504981893,0.21466059471481314,0.6489707044941972,0.29478005557499687,0.025341376831374628,0.3074497257769653,11.900596794418847
RECORDED_AGENT_CORE_NO_SAFETY_LAYER,1094,0.49697853383228496,0.14419123844888326,0.22025655354822582,0.7209733889464347,0.2947800555749961,0.025441526501676477,0.3087294332723949,12.40992151991989
DISTILLED_STATIC_CORE_NO_SAFETY_LAYER,1094,0.5848116236536418,0.1661806909741812,0.220592972968463,0.806642013958476,0.29505664969266343,0.02556963587041431,0.32381170018281535,13.609300468946651
CURRENT_RAMOE_CORE_NO_SAFETY_LAYER,1094,0.3899749292824626,0.11620828562641328,0.30621607726958067,0.511919135646682,0.45766290490573835,0.03752790086861824,0.4616512030800638,7.807397933808014
