trigger_policy,triggered_rows,changed_rows,policy,rows,terminal_growth,annualized_return,annualized_volatility,sharpe,maximum_drawdown,daily_loss_cvar_95,mean_exposure,total_turnover
STATIC_NO_AGENT,0,0,STATIC_NO_AGENT,1094,0.5848116236536418,0.1661806909741812,0.220592972968463,0.806642013958476,0.29505664969266343,0.02556963587041431,0.32381170018281535,13.609300468946651
FULL_RECORDED_AGENT,1094,74,FULL_RECORDED_AGENT,1094,0.49697853383228496,0.14419123844888326,0.22025655354822582,0.7209733889464347,0.2947800555749961,0.025441526501676477,0.3087294332723949,12.40992151991989
TRANSITION_ONLY,54,13,TRANSITION_ONLY,1094,0.5534117817119848,0.1584150586450157,0.21919938905130482,0.7798983377582485,0.29505664969266376,0.025441526501676477,0.3217550274223035,13.07802666319562
LOW_ROUTER_CONFIDENCE_LT_0_80_ONLY,141,28,LOW_ROUTER_CONFIDENCE_LT_0_80_ONLY,1094,0.5564845782433221,0.15917959544861637,0.21893933135095942,0.7835796704080542,0.29505664969266376,0.025441526501676477,0.318327239488117,14.049252861410631
BEAR_ONLY,445,43,BEAR_ONLY,1094,0.5655905567288546,0.16143934911433222,0.22012973052665155,0.7893608478809091,0.2950861834518077,0.02556963587041431,0.3139853747714808,14.519894862113278
BULL_ONLY,323,12,BULL_ONLY,1094,0.5837123580631634,0.16591056640067947,0.22125946240447408,0.8037284246050135,0.2950566496926652,0.025441526501676477,0.3219835466179159,13.056187082009307
MIX_ONLY,326,19,MIX_ONLY,1094,0.5141358614004028,0.1485529311486422,0.22005329814456295,0.7388349988434918,0.295056649692664,0.02556963587041431,0.3203839122486289,13.552440513690607
UNCERTAINTY_OR_TRANSITION,149,30,UNCERTAINTY_OR_TRANSITION,1094,0.5567901422975714,0.1592555672942615,0.21893845350407395,0.7838814159414212,0.29505664969266376,0.025441526501676477,0.3178702010968921,13.54902523991282
