decision_date,return_date,hard_regime,transition_day,router_confidence,static_action,agent_action,asset_simple_return,agent_minus_static_log_return,agent_better
2021-01-01,2021-01-02,bull,False,0.9999999999994936,0.5,0.75,0.0965057782894354,0.022504836561719296,True
2021-04-10,2021-04-11,mix,True,0.5048860504564074,0.25,0.5,0.0038544965220825,0.0012122663419244645,True
2021-08-21,2021-08-22,bull,True,0.6177215286448879,0.5,0.25,0.0077482107709745,-0.0016814096572150966,False
2021-10-14,2021-10-15,bull,True,0.7224831671952759,0.5,0.25,0.07544929184003,-0.01809380942753852,False
2022-11-15,2022-11-16,bear,False,0.9997354648003344,0.25,0.0,-0.0209883338956264,0.005010865714708278,True
2022-11-16,2022-11-17,bear,False,0.9997687233020696,0.25,0.0,0.0091109700432272,-0.0022711963094148406,False
2022-11-17,2022-11-18,bear,False,0.9998959836083556,0.25,0.0,-0.0031693347392638,0.0007943521731508075,True
2022-11-18,2022-11-19,bear,False,0.9996084527982833,0.25,0.0,0.0036602297109682,-0.0009140442962622471,False
2022-11-19,2022-11-20,bear,False,0.9997928044322733,0.25,0.0,-0.0247017821212992,0.006195278127878932,True
2022-11-20,2022-11-21,bear,False,0.9993774818691268,0.25,0.0,-0.0313445940552721,0.007871672842496714,True
2022-11-21,2022-11-22,bear,False,0.9998191914755667,0.25,0.0,0.0276809371077952,-0.00689047580812528,False
2022-11-22,2022-11-23,bear,False,0.999966279660172,0.25,0.0,0.0253501841126511,-0.006312393711563295,False
2022-11-23,2022-11-24,bear,False,0.9998930673519028,0.25,0.0,-0.0013655038829637,0.00034615748979642264,True
2022-11-24,2022-11-25,bear,False,0.9994143799249852,0.25,0.0,-0.0053550345758138,0.0013399117013623832,True
2022-11-25,2022-11-26,bear,False,0.999878756765592,0.25,0.0,-0.0033792990679675,0.000846187248051132,True
2022-11-26,2022-11-27,bear,False,0.999930872996399,0.25,0.0,-0.0018776775134445,0.000470163744654771,True
2022-11-27,2022-11-28,bear,False,0.9999501575544506,0.25,0.0,-0.0130223553477497,0.003261252026213669,True
2022-11-28,2022-11-29,bear,False,0.999966180841496,0.25,0.0,0.0141070954927613,-0.003518119720072218,False
2022-11-29,2022-11-30,bear,False,0.999959163056591,0.25,0.0,0.044007445074329,-0.010939145265968304,False
2022-11-30,2022-12-01,bear,False,0.9998297199102392,0.25,0.0,-0.0111804426732853,0.00280718592093899,True
2022-12-01,2022-12-02,bear,False,0.9988753930368072,0.25,0.0,0.007164741927881,-0.0017874810111482278,False
2022-12-02,2022-12-03,bear,False,0.9992862316513677,0.25,0.0,-0.0122326484766227,0.0030641888405764815,True
2022-12-03,2022-12-04,bear,False,0.9982502211123828,0.25,0.0,0.0135094317273238,-0.003369366807402579,False
2022-12-04,2022-12-05,bear,False,0.9996730489465276,0.25,0.0,-0.0085375688089477,0.002139197759158963,True
2022-12-05,2022-12-06,bear,False,0.9990727893663376,0.25,0.0,0.0072377921197652,-0.0018062087314820825,False
2022-12-06,2022-12-07,bear,False,0.99913656813145,0.25,0.0,-0.0148689530876043,0.0037255190071869026,True
2022-12-07,2022-12-08,bear,False,0.9966314887749966,0.25,0.0,0.0231954476335296,-0.005779314891654819,False
2022-12-08,2022-12-09,bear,False,0.9981847909755344,0.25,0.0,-0.0058052793210144,0.0014566980960599894,True
2022-12-09,2022-12-10,bear,False,0.975518649206094,0.25,0.0,8.75876606503123e-05,-2.080660291879739e-05,False
2022-12-10,2022-12-11,bear,False,0.6015471933249463,0.25,0.0,-0.0019793077677613,0.0004949658315202272,True
2022-12-11,2022-12-12,bear,False,0.7003242813326381,0.25,0.0,0.0068506373842383,-0.0017108231134124918,False
2022-12-12,2022-12-13,bear,False,0.7233093341459162,0.25,0.0,0.0330149212104307,-0.008218572244732103,False
2022-12-13,2022-12-14,mix,True,0.7338124980678205,0.25,0.0,0.0010012036943292,-0.00024412996174976375,False
2022-12-14,2022-12-15,mix,False,0.8812631424690565,0.25,0.0,-0.0247409588456093,0.006204635229634157,True
2022-12-15,2022-12-16,mix,False,0.7907117997134365,0.25,0.0,-0.0418584820322538,0.010524427472274184,True
2022-12-16,2022-12-17,mix,False,0.5357873330536344,0.25,0.0,0.0088697262712271,-0.0022070451981583755,False
2022-12-17,2022-12-18,bear,True,0.8174797538755862,0.25,0.0,-0.0021457820481489,0.0005382488458698121,True
2022-12-18,2022-12-19,bear,False,0.7114017595132986,0.25,0.0,-0.0179080227703077,0.004487460045261632,True
2022-12-19,2022-12-20,bear,False,0.8358643652056689,0.25,0.0,0.0280695565435822,-0.006989508985173006,False
2022-12-20,2022-12-21,bear,False,0.9214169361413856,0.25,0.0,-0.0042004874931963,0.0010559000176497517,True
2022-12-21,2022-12-22,bear,False,0.7488920966239881,0.25,0.0,-0.0006654071459974,0.00016715404414464324,True
2022-12-22,2022-12-23,bear,False,0.681003995593038,0.25,0.0,-0.0024672128223726,0.0006171182915524291,True
2022-12-23,2022-12-24,bear,False,0.7571220056229175,0.25,0.0,0.0034626410236544,-0.0008648229001445531,False
2022-12-24,2022-12-25,bear,False,0.910779134588976,0.25,0.0,-0.0003207184092367,8.083150072801569e-05,True
2022-12-25,2022-12-26,bear,False,0.7790940158300999,0.25,0.0,0.0051271997053197,-0.0012809189826084365,False
2022-12-26,2022-12-27,bear,False,0.7304379910758676,0.25,0.0,-0.0125309579680933,0.0031386169125444093,True
2022-12-27,2022-12-28,bear,False,0.5529844882268556,0.25,0.0,-0.0095713541760193,0.0023980628983084912,True
2022-12-28,2022-12-29,bear,False,0.7705513305084501,0.25,0.0,0.0054514027389975,-0.0013601239115790145,False
2022-12-29,2022-12-30,bear,False,0.8976628083674113,0.25,0.0,-0.0017551874203554,0.0004399139020095221,True
2022-12-30,2022-12-31,bear,False,0.7604489330039875,0.25,0.0,-0.0042029962907653,0.001051630738670544,True
2022-12-31,2023-01-01,bear,False,0.7809943170987442,0.25,0.0,0.0048979888011415,-0.0012229592239862155,False
2023-01-01,2023-01-02,mix,True,0.8511850997170896,0.25,0.0,0.0033637413950799,-0.0008396647105920988,False
2023-01-02,2023-01-03,mix,False,0.8745093567146072,0.25,0.0,-5.997253257894464e-06,2.129486215086763e-06,True
2023-01-03,2023-01-04,mix,False,0.9573278953676972,0.25,0.0,0.0106691775317555,-0.002663742341615017,False
2023-01-04,2023-01-05,mix,False,0.8703018032695417,0.25,0.0,-0.0013232772176761,0.000332869188324036,True
2023-01-05,2023-01-06,mix,False,0.9100467829991908,0.25,0.0,0.0071955697631582,-0.0017970281749649154,False
2023-01-06,2023-01-07,mix,False,0.9162996015319896,0.25,0.0,-0.0004306555994079,0.0001090164436106713,True
2023-01-07,2023-01-08,mix,False,0.9599764281773387,0.25,0.0,0.0103519913123539,-0.0025845739718007585,False
2023-01-08,2023-01-09,mix,False,0.9622354795492836,0.25,0.0,0.0035691337110812,-0.0008899495896449049,False
2023-01-09,2023-01-10,mix,False,0.9918774228942852,0.25,0.0,0.0150755816322372,-0.0037611423004534086,False
2023-01-10,2023-01-11,mix,False,0.9940945541704292,0.25,0.0,0.0288547000705312,-0.007184964855088598,False
2023-01-11,2023-01-12,mix,False,0.9913612309769972,0.25,0.0,0.0506624011414367,-0.012580690939774012,False
2023-01-12,2023-01-13,mix,False,0.9764404427475558,0.25,0.0,0.0570623776609571,-0.014155417867277462,False
2023-01-13,2023-01-14,mix,False,0.9401572840419494,0.25,0.0,0.0517488834244994,-0.012843701089785867,False
2023-02-27,2023-02-28,bull,True,0.6070453387731461,0.5,0.25,-0.0154762259460885,0.004141678255789936,True
2023-02-28,2023-03-01,bull,False,0.6629799962276459,0.5,0.25,0.0221223060461295,-0.005484100669680281,False
2023-03-02,2023-03-03,bull,True,0.548804262593333,0.5,0.25,-0.0473463056244513,0.01230070940619457,True
2023-03-18,2023-03-19,bull,True,0.6198194238138417,0.5,0.25,0.0387969310223115,-0.009310184406395253,False
2023-03-19,2023-03-20,bull,False,0.5817641437850257,0.5,0.25,-0.0085197094285499,0.0021390650027029914,True
2023-04-22,2023-04-23,mix,True,0.5945287016166579,0.25,0.5,-0.0079995973236403,-0.001755884949247265,False
2023-06-30,2023-07-01,bull,True,0.626041005560607,0.5,0.25,0.0037377473099047,-0.000683432704707251,False
2023-10-18,2023-10-19,bull,True,0.5690189529383582,0.5,0.25,0.014169347179018,-0.0032735863084164185,False
2023-10-21,2023-10-22,bull,True,0.7239321717193417,0.5,0.25,0.002383587014298,-0.0003483403770680961,False
2023-12-05,2023-12-06,bull,False,0.999980412586367,0.5,0.75,-0.0068041255825137,-0.001934059032656605,False
