period,condition,variant,rows,terminal_growth,annualized_return,annualized_volatility,sharpe_zero_cash_rate,maximum_drawdown,daily_loss_cvar_95,mean_exposure,mean_daily_turnover,total_turnover
corrected_pre2024,bear,single_llm_agent,445,-0.089962734033703473,-0.074457588263367458,0.17347929906291926,-0.35938071896068063,0.16769518038453668,0.021899037086780718,0.2258426966292135,0.0052356231076890218,2.3298522829216148
corrected_pre2024,bear,current_ramoe,445,-0.18780714678947041,-0.1569575184522477,0.29180604290465623,-0.43882948601230326,0.2859498092646503,0.03803482610852605,0.41460674157303379,0.0077338344005058526,3.4415563082251044
corrected_pre2024,bear,constant_matched_agent_exposure,445,-0.10139252165155854,-0.084009635098091673,0.21516396589364906,-0.30036001484234987,0.20363329541167419,0.02693095930522512,0.30744972577696522,0.0055241089965790526,2.4582285034776783
corrected_pre2024,bear,risk_budget_passive_btc,445,-0.11094029632721381,-0.09200555201500904,0.22979276403559387,-0.30501442892282665,0.2607551313202936,0.030059378845738897,0.33662921348314612,0.013128135444983249,5.8420202730175461
corrected_pre2024,bear,bull_probability_controller,445,0,0,0,0,-0,0,0,0,0
corrected_pre2024,bear,constant_50_percent,445,-0.18251507620678464,-0.15245149814413961,0.34992202100416059,-0.29776130051022875,0.31775097749053305,0.043794936944031984,0.5,0.0064958290788518936,2.8906439400890926
corrected_pre2024,bear,buy_and_hold,445,-0.42164598533734809,-0.36201298416480399,0.69987942827954841,-0.29095332377469291,0.57051440071735315,0.087578314119292233,1,0,0
corrected_pre2024,bear,cash,445,0,0,0,0,-0,0,0,0,0
corrected_pre2024,bull,single_llm_agent,323,0.63075181645453449,0.73847822966550103,0.30495780570572922,1.9657416235539813,0.12817436724554676,0.031954061825484312,0.48947368421052628,0.016821626794891676,5.4333854547500113
corrected_pre2024,bull,current_ramoe,323,0.65079305296660372,0.76265739462594495,0.2963469056420745,2.0608491408915515,0.12817436724554654,0.030899647775554675,0.46176470588235302,0.0094086329050625545,3.0389884283352053
corrected_pre2024,bull,constant_matched_agent_exposure,323,0.41542706764440074,0.48123623825602757,0.19454108602289011,2.1170087596778497,0.079866020230071388,0.019778833989949288,0.30744972577696528,0.0057904179695969201,1.8703050041798051
corrected_pre2024,bull,risk_budget_passive_btc,323,0.45922165893027866,0.53316586683277278,0.22937981611501268,1.9774608694661457,0.10292645390524158,0.023293187086513616,0.40061919504643967,0.015054277373843301,4.8625315917513863
corrected_pre2024,bull,bull_probability_controller,323,0.88266560180937459,1.0451015681902751,0.39834057064467315,1.9951519223679612,0.1812240388259867,0.042268276549196432,0.67120743034055719,0.025101814738884003,8.1078861606595325
corrected_pre2024,bull,constant_50_percent,323,0.73118956026128301,0.86003570949498642,0.31637793544645609,2.1195203699356182,0.12880449258660531,0.03216354176675245,0.5,0.0072149552463837271,2.3304305445819438
corrected_pre2024,bull,buy_and_hold,323,1.7577042754201626,2.1490061794629161,0.63275832841030866,2.1259834327843907,0.25112009320357731,0.064314990555463691,1,0.0030959752321981426,1
corrected_pre2024,bull,cash,323,0,0,0,0,-0,0,0,0,0
corrected_pre2024,mix,single_llm_agent,326,-0.045178147434478011,-0.050478013303562275,0.14454845936431451,-0.28608739942559425,0.17116461226144042,0.019659079272455086,0.23849693251533743,0.01269128545014488,4.1373590567472309
corrected_pre2024,mix,current_ramoe,326,-0.028818113523936484,-0.032231285329994974,0.2854771718768116,0.028288873073769639,0.3326624912014845,0.038607620110999941,0.47315950920245409,0.0090922548482013556,2.9640750805136422
corrected_pre2024,mix,constant_matched_agent_exposure,326,0.00028470673778380196,0.00031899054636297386,0.18130057596472465,0.092377167727900125,0.2215204571514432,0.024157595720196677,0.30744972577696533,0.0042249733462575087,1.3773413108799477
corrected_pre2024,mix,risk_budget_passive_btc,326,-0.009652565623329612,-0.010808420611325142,0.28277149670990664,0.10316875386694171,0.30181861320519976,0.036986249201619109,0.53634969325153381,0.017469109664064893,5.694929750485155
corrected_pre2024,mix,bull_probability_controller,326,0.019900258582099317,0.022322781396116209,0.061253245006997067,0.39072627702489043,0.035224061272888463,0.0062809183635047817,0.059202453987730073,0.039324790132496151,12.819881583193744
corrected_pre2024,mix,constant_50_percent,326,-0.013829916763756223,-0.015482068700633067,0.2948454432103359,0.094744174428402772,0.3382895953255397,0.03928435918889607,0.5,0.0049605860126927378,1.6171510401378324
corrected_pre2024,mix,buy_and_hold,326,-0.098164344202121612,-0.10931365094684953,0.58969309281055093,0.10088832816425017,0.57532576176841399,0.078555040938767626,1,0,0
corrected_pre2024,mix,cash,326,0,0,0,0,-0,0,0,0,0
corrected_pre2024,transition,single_llm_agent,54,0.04684533483640152,0.36296018582332912,0.15402658996933036,2.0865329207374876,0.035353867348876133,0.014480198139601459,0.28240740740740738,0.081586255615698336,4.4056578032477098
corrected_pre2024,transition,current_ramoe,54,0.089982115495169435,0.79102016235359041,0.25429380219957215,2.4174799355414414,0.039402483084916562,0.023152959700095437,0.45462962962962955,0.019570894823599319,1.0568283204743631
corrected_pre2024,transition,constant_matched_agent_exposure,54,0.067358245456530907,0.55412916609226759,0.17854843887863447,2.5579644471661198,0.027219024891462773,0.01504382226120022,0.30744972577696533,0.0047053073087985411,0.25408659467512124
corrected_pre2024,transition,risk_budget_passive_btc,54,0.099543121792772693,0.90000694819921989,0.2409448796360317,2.7836365373148197,0.044847929962331445,0.020911016493995335,0.45925925925925931,0.013934782191030001,0.75247823831562
corrected_pre2024,transition,bull_probability_controller,54,0.0058772121772794339,0.040432454121631878,0.16807341842191725,0.31791650588696929,0.051272809442534317,0.020694104110358678,0.28055555555555556,0.13257120222398314,7.1588449200950901
corrected_pre2024,transition,constant_50_percent,54,0.10935040434366861,1.0176228620063754,0.29037840694225131,2.5605457969871037,0.044151500900390439,0.024464677379145209,0.5,0.005535751585982962,0.29893058564307995
corrected_pre2024,transition,buy_and_hold,54,0.21668135224806884,2.7681376692323645,0.58082301172850725,2.5672594316765927,0.087680146402684622,0.048925194401727358,1,0,0
corrected_pre2024,transition,cash,54,0,0,0,0,-0,0,0,0,0
