arm,scope,period,observations,first_return_date,last_return_date,calendar_days,is_conditional_noncontiguous_selection,net_compounded_return_after_trading_costs,cumulative_net_log_return_after_trading_costs,conditional_log_growth_contribution,mean_daily_net_log_return_bps,mean_daily_net_simple_return_after_trading_costs,daily_net_return_volatility,annualized_net_return_volatility,net_cagr_after_trading_costs,annualized_sharpe_rf_zero,downside_rms_zero_threshold,annualized_sortino_threshold_zero,maximum_drawdown,calmar,expected_shortfall_95_daily_loss,turnover_sum,mean_daily_turnover,trading_days_with_nonzero_turnover,cost_fraction_sum_not_compounded_drag,mean_daily_cost_fraction,mean_btc_exposure,annualization_status,cagr_status,drawdown_status,trading_cost_sum_per_full_run_initial_unit
fixed_no_memory,FULL,FULL,1608,2021-01-02,2025-05-28,1608,False,1.1565098179245845,0.76849108980793346,,4.7791734440791878,0.00058029407812888419,0.014311854714607502,0.27352122396102108,0.19072136202832191,0.77490298181314021,0.0096589587311229838,1.1481878329069539,0.45180855200200831,0.4221287117811664,0.032635183328665773,14.253975593984485,0.0088644126828261727,1608,0.014253975593984483,8.8644126828261716e-06,0.44804104477611945,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.018581226984075536
fixed_no_memory,POST2021,POST2021,1244,2022-01-01,2025-05-28,1244,False,0.67852057222523188,0.51791279367814502,,4.1632861228146707,0.0004948455767482975,0.012536200506285809,0.23958578218379456,0.16423477491759128,0.75439512837477951,0.0084282484072030258,1.1220894465081284,0.36253333512241231,0.45301978882062277,0.028619108658465679,10.406163859997374,0.0083650834887438706,1244,0.010406163859997375,8.3650834887438711e-06,0.44509646302250805,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.0138459960272398
llama_frozen_W,FULL,FULL,1608,2021-01-02,2025-05-28,1608,False,1.2820171061700942,0.82505974754241651,,5.1309685792438842,0.00063169524918887802,0.015404148627243382,0.29439661529687644,0.20612003801011389,0.78372738604201508,0.010397806199855345,1.1610769527518321,0.47991118316224191,0.42949621772083524,0.035065444734942698,12.835051046652808,0.0079819969195602039,1608,0.012835051046652807,7.9819969195602025e-06,0.48896144278606968,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.018269798861953322
llama_frozen_W,POST2021,POST2021,1244,2022-01-01,2025-05-28,1244,False,0.77384235058107587,0.57314801329875964,,4.6072991422729874,0.00055883513948557818,0.014013341736216928,0.26781618874051233,0.18326977389058227,0.76214412450949487,0.0094252644977171358,1.1331444408364595,0.39702871359078268,0.46160332393358922,0.031969629456444069,8.8390796451421778,0.0071053694896641298,1244,0.0088390796451421772,7.1053694896641293e-06,0.49598070739549838,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.013340557170368247
llama_hard_allocator,FULL,FULL,1608,2021-01-02,2025-05-28,1608,False,1.1586094306248702,0.76946423226126759,,4.7852253250078833,0.00058249353926321439,0.014423056782702079,0.27564646393716341,0.19098459406533608,0.77184289679257045,0.009737132135177351,1.1432867268532494,0.45445076101123633,0.42025365661256747,0.032970478530803836,15.544592191624233,0.0096670349450399453,1608,0.015544592191624235,9.6670349450399469e-06,0.45006218905472639,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.02194380461035534
llama_hard_allocator,POST2021,POST2021,1244,2022-01-01,2025-05-28,1244,False,0.67717491634756,0.517110780531014,,4.1568390717927173,0.00049704837950435865,0.012761882281690095,0.2438989027866241,0.16396065489019171,0.7443531665773585,0.0085883393962133871,1.1060749988585437,0.3690186183008099,0.44431539970847012,0.029224763394173663,11.492783616428177,0.0092385720389294036,1244,0.011492783616428179,9.2385720389294039e-06,0.44975884244372988,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.016925757815319648
llama_memory_current_year,FULL,FULL,1608,2021-01-02,2025-05-28,1608,False,1.1749049232188662,0.77698495012259594,,4.8319959584738559,0.0005877521775389977,0.014463233231927893,0.27641429674330814,0.19302088873897458,0.77664753732140701,0.0097635105449121098,1.1504913544785904,0.45612406323456989,0.42317628973613297,0.03310167574784717,15.900636113577193,0.0098884552945131786,1608,0.015900636113577192,9.8884552945131784e-06,0.45108830845771153,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.02217448330231675
llama_memory_current_year,POST2021,POST2021,1244,2022-01-01,2025-05-28,1244,False,0.68442770582148738,0.52142586565141491,,4.1915262512171614,0.00050010291758045974,0.012729284159386659,0.24327590328802198,0.1654362685102691,0.75084539067563516,0.0085636300879061624,1.1160832777181233,0.37086594603711542,0.44608104431813378,0.029167740430219771,11.683908863062001,0.0093922096969951772,1244,0.011683908863062002,9.3922096969951782e-06,0.44855305466237944,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.016896594041213929
llama_memory_frozen2021,FULL,FULL,1608,2021-01-02,2025-05-28,1608,False,1.1937528149073853,0.78561369137988135,,4.8856572847007547,0.00059335625628015862,0.014479545113748531,0.27672604151501368,0.19536147875488039,0.78316941701552745,0.0097702380391157615,1.1606612715047797,0.45612406323456989,0.4283077664648714,0.033116041362295873,15.832106005835545,0.0098458370683056871,1608,0.015832106005835546,9.8458370683056883e-06,0.45192786069651741,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.021896890498134213
llama_memory_frozen2021,POST2021,POST2021,1244,2022-01-01,2025-05-28,1244,False,0.69902508459309676,0.53005460690870021,,4.2608891230602906,0.00050734677498864855,0.012753285786568737,0.24373461074242322,0.16839262004474981,0.76028763005856514,0.0085735421822613431,1.1309404234566309,0.37086594603711542,0.45405252718430356,0.029219414359426519,11.615378755320354,0.0093371211859488365,1244,0.011615378755320354,9.3371211859488379e-06,0.4496382636655949,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.016619001237031389
