arm,scope,period,observations,first_return_date,last_return_date,calendar_days,is_conditional_noncontiguous_selection,net_compounded_return_after_trading_costs,cumulative_net_log_return_after_trading_costs,conditional_log_growth_contribution,mean_daily_net_log_return_bps,mean_daily_net_simple_return_after_trading_costs,daily_net_return_volatility,annualized_net_return_volatility,net_cagr_after_trading_costs,annualized_sharpe_rf_zero,downside_rms_zero_threshold,annualized_sortino_threshold_zero,maximum_drawdown,calmar,expected_shortfall_95_daily_loss,turnover_sum,mean_daily_turnover,trading_days_with_nonzero_turnover,cost_fraction_sum_not_compounded_drag,mean_daily_cost_fraction,mean_btc_exposure,annualization_status,cagr_status,drawdown_status,trading_cost_sum_per_full_run_initial_unit
adaptive_memory,YEAR,2021,364,2021-01-02,2021-12-31,364,False,0.2895437557478025,0.25428847809998512,,6.9859472005490417,0.00087994713890956013,0.019061983447924452,0.36430337980439798,,0.88223362808021022,0.01291494731127329,1.3021441288411495,0.27318749422616673,,0.041536724851708055,4.1751293311038271,0.011470135525010514,364,0.0041751293311038272,1.1470135525010514e-05,0.45247252747252759,365_25_CALENDAR_DAYS_PER_YEAR,NOT_APPLICABLE_REQUIRES_365_CALENDAR_DAYS_AND_CONTIGUOUS_DAILY_RECORDS,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.0052155779155557951
adaptive_memory,YEAR,2022,365,2022-01-01,2022-12-31,365,False,-0.34576364982891095,-0.42428660111227667,,-11.624290441432239,-0.0010585210078618286,0.014345853712151061,0.27417099630758285,-0.34595374803940626,-1.410159365244426,0.011090516443794596,-1.8240755574493968,0.37086594603711481,-0.93282694659914811,0.038683247891432959,3.3723838141544618,0.0092394077100122242,365,0.0033723838141544614,9.2394077100122229e-06,0.41520547945205483,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.0034226178499384701
adaptive_memory,YEAR,2023,365,2023-01-01,2023-12-31,365,False,0.59283377892863498,0.4655146808060594,,12.753826871398889,0.0013343120887020833,0.010837761707292937,0.20712604384888392,0.59334172805930696,2.3529512819450393,0.006123717990040003,4.1642553337801882,0.093718692041957194,6.3310927108721504,0.020932066411443576,2.4706555683148128,0.0067689193652460625,365,0.0024706555683148132,6.7689193652460634e-06,0.46246575342465757,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.0026429208233655832
adaptive_memory,YEAR,2024,366,2024-01-01,2024-12-31,366,False,0.50732168842530778,0.41033435965493475,,11.211321302047397,0.0012090362126272157,0.013264781202494179,0.25351006298143902,0.50605479105312212,1.7419445660996216,0.0081987758283283679,2.8182882444898216,0.1253210595036609,4.0380666510271492,0.026994333645129837,3.6701764776333183,0.010027804583697592,366,0.0036701764776333181,1.002780458369759e-05,0.46994535519125685,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.0063448655735889575
adaptive_memory,YEAR,2025,148,2025-01-01,2025-05-28,148,False,0.067826493605692595,0.065625268169382772,,4.434139741174512,0.00050635547878762988,0.011258165836684072,0.21516060361226425,,0.85957343269248843,0.0075213286220828434,1.2866370744189028,0.13037521345149158,,0.024610116547558361,1.8669715615719165,0.01261467271332376,148,0.0018669715615719164,1.261467271332376e-05,0.44594594594594594,365_25_CALENDAR_DAYS_PER_YEAR,NOT_APPLICABLE_REQUIRES_365_CALENDAR_DAYS_AND_CONTIGUOUS_DAILY_RECORDS,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.0038239657556941821
adaptive_no_memory,YEAR,2021,364,2021-01-02,2021-12-31,364,False,0.2895437557478025,0.25428847809998512,,6.9859472005490417,0.00087994713890956013,0.019061983447924452,0.36430337980439798,,0.88223362808021022,0.01291494731127329,1.3021441288411495,0.27318749422616673,,0.041536724851708055,4.1751293311038271,0.011470135525010514,364,0.0041751293311038272,1.1470135525010514e-05,0.45247252747252759,365_25_CALENDAR_DAYS_PER_YEAR,NOT_APPLICABLE_REQUIRES_365_CALENDAR_DAYS_AND_CONTIGUOUS_DAILY_RECORDS,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.0052155779155557951
adaptive_no_memory,YEAR,2022,365,2022-01-01,2022-12-31,365,False,-0.34576364982891095,-0.42428660111227667,,-11.624290441432239,-0.0010585210078618286,0.014345853712151061,0.27417099630758285,-0.34595374803940626,-1.410159365244426,0.011090516443794596,-1.8240755574493968,0.37086594603711481,-0.93282694659914811,0.038683247891432959,3.3723838141544618,0.0092394077100122242,365,0.0033723838141544614,9.2394077100122229e-06,0.41520547945205483,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.0034226178499384701
adaptive_no_memory,YEAR,2023,365,2023-01-01,2023-12-31,365,False,0.59283377892863498,0.4655146808060594,,12.753826871398889,0.0013343120887020833,0.010837761707292937,0.20712604384888392,0.59334172805930696,2.3529512819450393,0.006123717990040003,4.1642553337801882,0.093718692041957194,6.3310927108721504,0.020932066411443576,2.4706555683148128,0.0067689193652460625,365,0.0024706555683148132,6.7689193652460634e-06,0.46246575342465757,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.0026429208233655832
adaptive_no_memory,YEAR,2024,366,2024-01-01,2024-12-31,366,False,0.51011990813649244,0.41218905703599201,,11.261996093879564,0.0012145340499390654,0.013296786725920986,0.25412173701780821,0.50884492433163808,1.7456537443278874,0.0082214977176780623,2.823279447700048,0.12576386170702025,4.0460345080452784,0.026995598270348711,3.6678821161538711,0.010021535836485986,366,0.0036678821161538712,1.0021535836485987e-05,0.47158469945355191,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.0061922298490312659
adaptive_no_memory,YEAR,2025,148,2025-01-01,2025-05-28,148,False,0.066070820324459212,0.063979759113323403,,4.3229566968461759,0.00049531389111633528,0.011265466744320191,0.21530013501699682,,0.84028465061556645,0.0075315904245052733,1.2568658482108286,0.13037521345149158,,0.024610116547558361,1.8641263505142054,0.012595448314285171,148,0.0018641263505142056,1.2595448314285173e-05,0.44662162162162156,365_25_CALENDAR_DAYS_PER_YEAR,NOT_APPLICABLE_REQUIRES_365_CALENDAR_DAYS_AND_CONTIGUOUS_DAILY_RECORDS,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.003823116599602272
buy_hold,YEAR,2021,364,2021-01-02,2021-12-31,364,False,0.57266477406258698,0.45277148888039703,,12.438777167043874,0.0021408764619468734,0.042454921194452259,0.81137785701688769,,0.96373732776123833,0.028286992468241949,1.4464384062106086,0.53110830976583479,,0.090300308008590735,1,0.0027472527472527475,1,0.001,2.7472527472527472e-06,1,365_25_CALENDAR_DAYS_PER_YEAR,NOT_APPLICABLE_REQUIRES_365_CALENDAR_DAYS_AND_CONTIGUOUS_DAILY_RECORDS,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.001
buy_hold,YEAR,2022,365,2022-01-01,2022-12-31,365,False,-0.64219863910254038,-1.0277773044003311,,-28.158282312337835,-0.0022453360926876723,0.033500337758102211,0.64024220266513643,-0.64245042726141399,-1.2809355653849499,0.025450839247383835,-1.6860651890358573,0.66952532573630807,-0.95956105402716685,0.088170348931479403,0,0,0,0,0,1,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0
buy_hold,YEAR,2023,365,2023-01-01,2023-12-31,365,False,1.5561756987192636,0.93851227387084402,,25.712665037557372,0.0028353410144281799,0.023034381048638017,0.44022191555490536,1.5578193791931905,2.3524687638835404,0.013128557950805879,4.1274648834517036,0.2002059359119803,7.7810848719194778,0.04487725993823885,0,0,0,0,0,1,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0
buy_hold,YEAR,2024,366,2024-01-01,2024-12-31,366,False,1.213192974155779,0.79443625751833447,,21.705908675364331,0.0025545856352461736,0.027800420693443319,0.5313081530195265,1.2095929529224492,1.7561605218570269,0.017221166825031522,2.8349996146531695,0.26139957819131204,4.6273714796784304,0.055937247368440954,0,0,0,0,0,1,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0
buy_hold,YEAR,2025,148,2025-01-01,2025-05-28,148,False,0.15209411996083924,0.14158126029122076,,9.5663013710284304,0.001292553915555853,0.026039905957608807,0.49766204949561466,,0.94864641202852129,0.017251072283787212,1.4319494434825135,0.2811368423432406,,0.056430626023156981,0,0,0,0,0,1,365_25_CALENDAR_DAYS_PER_YEAR,NOT_APPLICABLE_REQUIRES_365_CALENDAR_DAYS_AND_CONTIGUOUS_DAILY_RECORDS,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0
cash,YEAR,2021,364,2021-01-02,2021-12-31,364,False,0,0,,0,0,0,0,,,0,,-0,,-0,0,0,0,0,0,0,365_25_CALENDAR_DAYS_PER_YEAR,NOT_APPLICABLE_REQUIRES_365_CALENDAR_DAYS_AND_CONTIGUOUS_DAILY_RECORDS,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0
cash,YEAR,2022,365,2022-01-01,2022-12-31,365,False,0,0,,0,0,0,0,0,,0,,-0,,-0,0,0,0,0,0,0,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0
cash,YEAR,2023,365,2023-01-01,2023-12-31,365,False,0,0,,0,0,0,0,0,,0,,-0,,-0,0,0,0,0,0,0,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0
cash,YEAR,2024,366,2024-01-01,2024-12-31,366,False,0,0,,0,0,0,0,0,,0,,-0,,-0,0,0,0,0,0,0,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0
cash,YEAR,2025,148,2025-01-01,2025-05-28,148,False,0,0,,0,0,0,0,,,0,,-0,,-0,0,0,0,0,0,0,365_25_CALENDAR_DAYS_PER_YEAR,NOT_APPLICABLE_REQUIRES_365_CALENDAR_DAYS_AND_CONTIGUOUS_DAILY_RECORDS,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0
fixed_memory,YEAR,2021,364,2021-01-02,2021-12-31,364,False,0.28557040587180443,0.25120251547474948,,6.9011680075480628,0.00087290750968395229,0.019137881065451837,0.36575389824912669,,0.87170490714742455,0.012971525282628233,1.2860927665538187,0.27411416796461607,,0.041553120586790185,4.3115648441106451,0.011844958362941332,364,0.0043115648441106455,1.1844958362941334e-05,0.45673076923076933,365_25_CALENDAR_DAYS_PER_YEAR,NOT_APPLICABLE_REQUIRES_365_CALENDAR_DAYS_AND_CONTIGUOUS_DAILY_RECORDS,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.0054076193873143939
fixed_memory,YEAR,2022,365,2022-01-01,2022-12-31,365,False,-0.33308735657486155,-0.40509621102135474,,-11.098526329352184,-0.0010089593007875724,0.014143166560903449,0.27029733780587695,-0.33327237459414338,-1.3633962790907228,0.01086385606744425,-1.7749444160513821,0.36253333512241231,-0.91928753112210015,0.037713646496965264,3.6353331783228686,0.0099598169269119689,365,0.0036353331783228688,9.9598169269119687e-06,0.4123287671232877,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.0037753329961917317
fixed_memory,YEAR,2023,365,2023-01-01,2023-12-31,365,False,0.61317663652509047,0.47820530122257188,,13.101515101988271,0.0013731699839170774,0.01120916573373088,0.21422413741684559,0.6137050995178297,2.3412410136107886,0.0063540232091054546,4.1301955753897932,0.096118760850035734,6.3848627894332823,0.021902959774407173,3.5070328933962451,0.0096083092969760139,365,0.0035070328933962452,9.6083092969760147e-06,0.48027397260273974,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.0038919072490587207
