variant,terminal_growth,sharpe_zero_cash_rate,maximum_drawdown_loss,daily_loss_cvar_95,mean_exposure,mean_daily_turnover
ramas_base,0.27024408679118861,0.83828975349294099,0.28406517146080545,0.042238031458788711,0.45329670329670335,0.011469596767280623
ramas_llama70b_adaptive_memory,0.28954375574780067,0.88223362808020989,0.27318749422616739,0.041536724851708125,0.45247252747252759,0.011470135525010521
ramas_llama70b_frozen_trust,0.28819888859688536,0.87786013634604743,0.27305500520191905,0.04155312058679024,0.45521978021978027,0.012515333414689012
deterministic_same_information,0.29128532173099764,0.88521916876281415,0.27318749422616739,0.041536724851708125,0.45398351648351665,0.011482713733746481
llama70b_shadow_only,0.23126082866971531,0.78720456337001699,0.1812240388259867,0.041871577267818746,0.33447802197802196,0.022444896294673448
buy_and_hold,0.57266477406259431,0.96373732776124488,0.53110830976583445,0.090300308008590818,1,0.0027472527472527475
cash,0,0,-0,0,0,0
