Date,Close,Open,High,Low,Volume,entropy,kurtosis,mad,median,quantile_0.5,skew,stdev,variance,zscore,adx,dmp,dmn,amat_200_10,amat_signal,aroon_up,aroon_dn,aroon_osc,chop,cksp_stop,cksp_direction,decay,decreasing,dpo,increasing,long_run,psar_af,psar_reversal,qstick,short_run,ttm_trend,vortex_vi_plus,vortex_vi_minus,aberration_upper,aberration_middle,aberration_lower,aberration_range,bb_lower,bb_middle,bb_upper,donchian_lower,donchian_middle,donchian_upper,thermo_raw,thermo_ema,thermo_long,thermo_short,accbands_upper,accbands_middle,accbands_lower,atr,kc_upper,kc_middle,kc_lower,massi,natr,pdist,rvi,true_range,ui,drawdown,drawdown_pct,drawdown_log,TS_Trends,TS_Trades,TS_Entries,TS_Exits,log_return,percent_return,ao,apo,bias,bop,cci,cfo,cg,cmo,coppock,er,inertia,mom,pgo,psl,roc,rsi,rsx,slope,uo,willr,brar_br,brar_ar,eri_bull,eri_bear,fisher,fisher_signal,kdj_k,kdj_d,kdj_j,kst,kst_signal,ppo,ppo_signal,ppo_hist,pvo,pvo_signal,pvo_hist,qqe,rvgi,rvgi_signal,smi,smi_signal,oscillator,SQZ_20_2.0_20_1.5,SQZ_ON,SQZ_OFF,SQZ_NO,stochrsi_k,stochrsi_d,trix,trix_signal,tsi,tsi_signal,macd,macd_signal,macd_hist,cdl_doji,ebsw,ad,adosc,mfi,nvi,obv,pvi,pvol,pvr,pvt,cmf,efi,eom,aobv,aobv_min_2,aobv_max_2,aobv_ema_4,aobv_ema_12,aobv_lr_2,aobv_sr_2,alma,dema,ema,fwma,hl2,hlc3,hma,hwma,kama,linreg,midpoint,midprice,ohlc4,pwma,rma,sinwma,sma,ssf,SUPERT_7_3.0,SUPERTd_7_3.0,swma,t3,tema,trima,vidya,vwap,vwma,wcp,wma,zlma,HILO_13_21,ISA_9_a,ISB_26_a,ITS_9_a,IKS_26_a,mcgd
2015-01-01,314.9,318.2,321.4,313.5,12820.0,,,,,,,,,,,,,0,0,,,,,,,314.9,0,,0,0,0.02,0,,0,-1,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,-0.4177215189873444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,0,,-8276.202531645631,,,1000.0,12820.0,1000.0,4037017.9999999995,1.0,,,,,12820.0,,,,,0,0,,,,,317.45,316.59999999999997,,314.9,,,,,317.0,,,,,78447.67332461521,0.0,1,,,,,,316.59999999999997,,316.17499999999995,,,,,,,,314.9
2015-01-02,315.2,314.9,316.4,313.1,14730.0,,,,,,,,,,,,,0,0,,,,,,,315.2,0,,0,0,0.02,1,,0,-1,,,,,,,,,,,,,5.0,,0,0,,,,,,,,,,6.299999999999898,,3.2999999999999545,,0.0,0.0,0.0,0,0,0,0,0.0009522298767451904,0.0009526833915529664,,,,0.09090909090909567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,0,,-4258.9298043729505,,,1000.0,27550.0,1000.0952683391553,4642896.0,1.0,1403.3026357574365,,,,27550.0,12820.0,27550.0,,,0,0,,,,,314.75,314.90000000000003,,314.9663,,,315.04999999999995,317.25,314.9,,,,,47910.858556806306,,1,,,,,,314.9000000000001,,314.975,,,,,,,,314.92988594975674
2015-01-03,287.1,315.2,315.8,284.9,47370.0,,,,,,,,,,,,,0,0,,,,,,,315.15,0,,0,0,0.02,1,,0,-1,,,,,,,,,,,,,28.200000000000045,,0,0,,,,,,,,,,33.7000000000001,,30.900000000000034,,28.099999999999966,0.08914974619289329,0.0933767708567057,0,0,0,0,-0.09242454097996051,-0.08828199428389949,,,,-0.9093851132686063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,0,,-44883.68708592631,,,1000.0,-19820.0,991.180293719866,13599927.000000002,3.0,-420899.04507997807,,,,-19820.0,-19820.0,27550.0,,,0,0,,,,,300.35,295.93333333333334,,308.8147162,,,301.15,300.65,300.75,,,,,23294.789332065193,,1,,,,,,295.93333333333334,,293.725,,,,,,,,310.9005436766324
2015-01-04,264.7,287.1,289.9,255.9,88770.0,,,,,,,,,,,,,0,0,,,,,,,287.05,0,,0,0,0.04,0,,0,-1,,,,,,,,,,,,,28.99999999999997,,0,0,,,,,,,,,,45.59999999999991,,33.99999999999997,,50.5,0.16021573604060912,0.17461024875066844,0,0,0,0,-0.1736580188739234,-0.15941568751984758,,,,-0.6588235294117663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,0,,-87702.15767416157,,,1000.0,-108590.0,983.3781341935685,23497419.0,3.0,-1113496.7462294046,,,,-108590.0,-108590.0,-19820.0,-22010.0,,0,0,,,,,272.9,270.1666666666667,,298.4347991388001,,,275.9,285.85,274.4,,,,,7340.560857784261,,1,,,,,,270.1666666666667,,268.79999999999995,,,,,,,,302.10794507921764
2015-01-05,274.8,264.7,278.3,262.9,54990.0,,,,,,,,,,,,,0,0,,,,,,,274.8,0,,0,0,0.04,0,,0,-1,,,,,,,,,,,,,11.599999999999966,,0,0,,,,,,,,,,20.700000000000045,,15.400000000000034,,40.39999999999998,0.12817258883248728,0.13716379763553022,0,0,0,0,-0.1362115677587845,-0.12734201333756734,,,,0.6558441558441559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,0,,-57707.61221961626,,,1003.8156403475633,-53600.0,983.3781341935685,15111252.0,2.0,-903674.6835168994,,,,-53600.0,-108590.0,-53600.0,-34646.0,,0,0,,,,,270.6,272.0,,291.5189575446313,,,269.75,272.9,270.175,,,,,-1009.481169580491,,1,,,,,,272.0,,272.70000000000005,,,,,,,,298.11888392229787
2015-01-06,282.3,274.8,285.1,271.5,21940.0,,,,,,,,,,,,,0,0,,,,,,,282.3,0,,0,0,0.04,0,,0,-1,,,,,,,,,,,,,8.600000000000023,,0,0,,,,,,,,,,19.700000000000045,,13.600000000000023,,32.89999999999998,0.10437817258883242,0.11023702272428082,0,0,0,0,-0.10928479284753519,-0.10352492854874551,,,,0.5514705882352932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,0,,-44801.72986667511,,,1006.5448979894848,-31660.0,983.3781341935685,6193662.0,2.0,-843794.7708531439,,,,-31660.0,-53600.0,-31660.0,-33451.6,,0,0,,,,,278.3,279.6333333333334,,287.11299893901344,,,278.55,274.0,278.425,,,,,-4116.286033032813,,1,,,,,,279.6333333333334,,280.3,,,,,,,,296.1514947659029
2015-01-07,291.3,282.3,296.1,280.7,30670.0,,,,,,,,,,,,,0,0,,,,,,,291.3,0,,0,0,0.04,0,,0,1,,,,,,,,,,,,,11.0,,0,0,,,,,,,,,,21.800000000000068,,15.400000000000034,,23.899999999999977,0.07582487309644659,0.07885369401833486,0,0,0,0,-0.07790146414158991,-0.07494442680215929,,,,0.5844155844155832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,0,,-33250.69090563604,,,1006.5448979894848,-990.0,986.5662319619,8934171.0,1.0,-746015.8122984149,,,,-990.0,-31660.0,-990.0,-20466.96,,0,0,,,,,288.4,289.3666666666666,,285.2799003665165,,,286.8,283.8,287.6,,,,,-4277.952773104041,,1,,,,,,289.3666666666667,,289.85,,,,,,,,295.63320892478384
2015-01-08,282.7,291.3,292.7,279.0,20180.0,,,,,,,,,,,,,0,0,,,,,,,291.25,0,,0,0,0.04,0,,0,-1,,,,,,,,,,,,,3.400000000000034,,0,0,,,,,,,,,,18.799999999999955,,13.699999999999989,,32.5,0.10310913705583757,0.10882109328417933,0,0,0,0,-0.10786886340743432,-0.10225468402667515,,,,-0.6277372262773745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,0,,-42530.544920234686,,,1003.5926151195912,-21170.0,986.5662319619,5704886.0,4.0,-805592.8806128675,,,,-21170.0,-21170.0,-990.0,-20748.176,,0,0,,,,,285.85,284.8,,281.85190055110064,,,287.0,287.55,286.425,,,,,-3189.7031425844707,233.553253453322,1,,,,,,284.8,,284.275,,,,,,,,294.08647386778455
2015-01-09,288.0,282.7,290.6,277.3,20930.0,,,,,,,,,,,,,0,0,,,,,,,288.0,0,,0,0,0.04,0,,0,1,,,,,,,,,,,,,2.099999999999966,,0,0,,,,,,,,,,21.30000000000001,,13.300000000000011,,27.19999999999999,0.08629441624365475,0.09024687784777807,0,0,0,0,-0.08929464797103291,-0.08542394410924092,,,,0.3984962406015043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,0,,-29783.702814971683,,,1003.5926151195912,-240.0,988.4410108794805,6027840.0,1.0,-766353.7578679081,,,,-240.0,-21170.0,-240.0,-12544.9056,,0,0,,,,,283.95000000000005,285.3,,280.1073155415275,,,285.35,285.0,284.65,,,,,-1861.6342439333196,234.1523456220465,1,,,,,,285.3,,285.975,,,,,,288.65,,293.4247207269152
2015-01-10,273.4,288.0,289.3,272.0,14730.0,,,,,,,,,,,,,0,0,,,,,,,287.95,0,,0,0,0.04,0,,0,-1,,,,,,,,,,,,,5.300000000000011,,0,0,,,,,,,,,,20.0,,17.30000000000001,,41.80000000000001,0.13261421319796962,0.14227143369387552,0,0,0,0,-0.14131920381712976,-0.13178786916481422,,,,-0.8439306358381511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,0,,-42129.65657219711,490.814371398199,,998.5231706751467,-14970.0,988.4410108794805,4027181.9999999995,4.0,-841026.6745345748,,,,-14970.0,-14970.0,-240.0,-13514.94336,,0,0,0.0,287.44,287.44,281.0027972027972,280.65,278.2333333333333,,275.4721057865135,0.0,,280.7,281.3,280.67499999999995,280.1337890625,285.12826007989486,,287.44,-774.8986866605699,234.1523456220465,1,283.7866666666667,287.4399999999998,287.44,,,278.2333333333333,280.54979060312417,277.025,282.9072727272727,274.33333333333337,,,,286.15,,290.76791849981134
