period,condition,variant,rows,terminal_growth,annualized_return,annualized_volatility,sharpe_zero_cash_rate,maximum_drawdown,daily_loss_cvar_95,mean_exposure,mean_daily_turnover,total_turnover
corrected_pre2024,bear,single_llm_agent,445,-0.18780714678947685,-0.15695751845225314,0.29180604290465656,-0.43882948601230198,0.28594980926465363,0.038034826108526078,0.41460674157303379,0.0077338344005059003,3.4415563082251257
corrected_pre2024,bear,current_ramoe,445,-0.18780714678947041,-0.1569575184522477,0.29180604290465623,-0.43882948601230326,0.2859498092646503,0.03803482610852605,0.41460674157303379,0.0077338344005058526,3.4415563082251044
corrected_pre2024,bear,constant_matched_agent_exposure,445,-0.15871233888509417,-0.13224829946166394,0.31211381027627255,-0.2984914043723696,0.28623948890466089,0.039063754208303179,0.44597806215722119,0.006417060898661492,2.855592099904364
corrected_pre2024,bear,risk_budget_passive_btc,445,-0.11094029632721381,-0.09200555201500904,0.22979276403559387,-0.30501442892282665,0.2607551313202936,0.030059378845738897,0.33662921348314612,0.013128135444983249,5.8420202730175461
corrected_pre2024,bear,bull_probability_controller,445,0,0,0,0,-0,0,0,0,0
corrected_pre2024,bear,constant_50_percent,445,-0.18251507620678464,-0.15245149814413961,0.34992202100416059,-0.29776130051022875,0.31775097749053305,0.043794936944031984,0.5,0.0064958290788518936,2.8906439400890926
corrected_pre2024,bear,buy_and_hold,445,-0.42164598533734809,-0.36201298416480399,0.69987942827954841,-0.29095332377469291,0.57051440071735315,0.087578314119292233,1,0,0
corrected_pre2024,bear,cash,445,0,0,0,0,-0,0,0,0,0
corrected_pre2024,bull,single_llm_agent,323,0.65079305296659307,0.76265739462593207,0.29634690564207478,2.0608491408915541,0.12817436724554676,0.030899647775554682,0.46176470588235302,0.0094086329050625996,3.0389884283352195
corrected_pre2024,bull,current_ramoe,323,0.65079305296660372,0.76265739462594495,0.2963469056420745,2.0608491408915515,0.12817436724554654,0.030899647775554675,0.46176470588235302,0.0094086329050625545,3.0389884283352053
corrected_pre2024,bull,constant_matched_agent_exposure,323,0.63813749077295823,0.74738433228137624,0.28219536642529086,2.1188171750128908,0.115167309051876,0.028689069626607305,0.4459780621572213,0.0069853150913364685,2.2562567745016793
corrected_pre2024,bull,risk_budget_passive_btc,323,0.45922165893027866,0.53316586683277278,0.22937981611501268,1.9774608694661457,0.10292645390524158,0.023293187086513616,0.40061919504643967,0.015054277373843301,4.8625315917513863
corrected_pre2024,bull,bull_probability_controller,323,0.88266560180937459,1.0451015681902751,0.39834057064467315,1.9951519223679612,0.1812240388259867,0.042268276549196432,0.67120743034055719,0.025101814738884003,8.1078861606595325
corrected_pre2024,bull,constant_50_percent,323,0.73118956026128301,0.86003570949498642,0.31637793544645609,2.1195203699356182,0.12880449258660531,0.03216354176675245,0.5,0.0072149552463837271,2.3304305445819438
corrected_pre2024,bull,buy_and_hold,323,1.7577042754201626,2.1490061794629161,0.63275832841030866,2.1259834327843907,0.25112009320357731,0.064314990555463691,1,0.0030959752321981426,1
corrected_pre2024,bull,cash,323,0,0,0,0,-0,0,0,0,0
corrected_pre2024,mix,single_llm_agent,326,-0.028818113523950584,-0.032231285330010628,0.28547717187681187,0.028288873073748919,0.33266249120148694,0.038607620110999982,0.47315950920245409,0.0090922548482014077,2.9640750805136586
corrected_pre2024,mix,current_ramoe,326,-0.028818113523936484,-0.032231285329994974,0.2854771718768116,0.028288873073769639,0.3326624912014845,0.038607620110999941,0.47315950920245409,0.0090922548482013556,2.9640750805136422
corrected_pre2024,mix,constant_matched_agent_exposure,326,-0.0087759772781478285,-0.009827386109956926,0.26298926722393257,0.094080259708390221,0.30710760647702828,0.035040598613923842,0.4459780621572213,0.0049025924650736227,1.5982451436140011
corrected_pre2024,mix,risk_budget_passive_btc,326,-0.009652565623329612,-0.010808420611325142,0.28277149670990664,0.10316875386694171,0.30181861320519976,0.036986249201619109,0.53634969325153381,0.017469109664064893,5.694929750485155
corrected_pre2024,mix,bull_probability_controller,326,0.019900258582099317,0.022322781396116209,0.061253245006997067,0.39072627702489043,0.035224061272888463,0.0062809183635047817,0.059202453987730073,0.039324790132496151,12.819881583193744
corrected_pre2024,mix,constant_50_percent,326,-0.013829916763756223,-0.015482068700633067,0.2948454432103359,0.094744174428402772,0.3382895953255397,0.03928435918889607,0.5,0.0049605860126927378,1.6171510401378324
corrected_pre2024,mix,buy_and_hold,326,-0.098164344202121612,-0.10931365094684953,0.58969309281055093,0.10088832816425017,0.57532576176841399,0.078555040938767626,1,0,0
corrected_pre2024,mix,cash,326,0,0,0,0,-0,0,0,0,0
corrected_pre2024,transition,single_llm_agent,54,0.089982115495168324,0.79102016235357797,0.25429380219957243,2.4174799355414516,0.03940248308491634,0.023152959700095455,0.45462962962962955,0.019570894823599368,1.0568283204743658
corrected_pre2024,transition,current_ramoe,54,0.089982115495169435,0.79102016235359041,0.25429380219957215,2.4174799355414414,0.039402483084916562,0.023152959700095437,0.45462962962962955,0.019570894823599319,1.0568283204743631
corrected_pre2024,transition,constant_matched_agent_exposure,54,0.097593771389943518,0.87733906688236485,0.25900251808276287,2.559821662679362,0.039410092676506636,0.021821623513415107,0.44597806215722113,0.0054678368203973145,0.29526318830145498
corrected_pre2024,transition,risk_budget_passive_btc,54,0.099543121792772693,0.90000694819921989,0.2409448796360317,2.7836365373148197,0.044847929962331445,0.020911016493995335,0.45925925925925931,0.013934782191030001,0.75247823831562
corrected_pre2024,transition,bull_probability_controller,54,0.0058772121772794339,0.040432454121631878,0.16807341842191725,0.31791650588696929,0.051272809442534317,0.020694104110358678,0.28055555555555556,0.13257120222398314,7.1588449200950901
corrected_pre2024,transition,constant_50_percent,54,0.10935040434366861,1.0176228620063754,0.29037840694225131,2.5605457969871037,0.044151500900390439,0.024464677379145209,0.5,0.005535751585982962,0.29893058564307995
corrected_pre2024,transition,buy_and_hold,54,0.21668135224806884,2.7681376692323645,0.58082301172850725,2.5672594316765927,0.087680146402684622,0.048925194401727358,1,0,0
corrected_pre2024,transition,cash,54,0,0,0,0,-0,0,0,0,0
