decision_date,return_date,prob_bear,prob_bull,prob_mix,canonical_asset_simple_return,exposure_cash,exposure_buy_and_hold,exposure_trend,exposure_volatility_target,exposure_drawdown_control,exposure_specialist_atp
2023-12-31,2024-01-01,4.7033182204256165e-10,0.99786104213784077,0.0021389573918271002,0.045204329055532622,0,1,0,0,0,0
2024-01-01,2024-01-02,1.6524974704739481e-11,0.9996166834573188,0.00038331652615620002,0.017207820131542428,0,1,0,0,0,0
2024-01-02,2024-01-03,2.488671974394105e-11,0.99956822692873715,0.00043177304637599998,-0.046894225442053017,0,1,0,0,0,0
2024-01-03,2024-01-04,1.0694383903071703e-08,0.98363924609675557,0.016360743208860499,0.030836140545007718,0,1,0,0,0,0
2024-01-04,2024-01-05,2.212274469181502e-09,0.99332171188658636,0.0066782859011390002,-2.2646466019127232e-06,0,1,0,0,0,0
2024-01-05,2024-01-06,2.8736850708113686e-09,0.99448843264876485,0.0055115644775499996,-0.0042801917707085968,0,1,0,0,0,0
2024-01-06,2024-01-07,2.8980369844821727e-09,0.99427097840880685,0.0057290186931560003,-0.00092340093568255011,0,1,0,0,0,0
2024-01-07,2024-01-08,2.4897942611053228e-08,0.98084582385191721,0.0191541512501399,0.069089154125111074,0,1,0,0,0,0
2024-01-08,2024-01-09,9.2147075651798972e-11,0.99850976184578322,0.0014902380620696,-0.017741928614928515,0,1,0,0,0,0
2024-01-09,2024-01-10,1.4376939187610527e-09,0.99534355230453719,0.0046564462577688998,0.010845671920050259,0,1,0,0,0,0
2024-01-10,2024-01-11,3.402401442147324e-11,0.99917873317945238,0.00082126678652360001,-0.0060283984533331392,0,1,0,0,0,0
2024-01-11,2024-01-12,1.5039969370091487e-10,0.99831513786560921,0.0016848619839913001,-0.07578072071838815,0,1,0,0,0,0
2024-01-12,2024-01-13,9.6016123696033792e-07,0.88279091484220851,0.1172081249965545,0.00035951153121560608,0,1,0,0,0,0
2024-01-13,2024-01-14,1.1812923768555387e-06,0.86317868072103365,0.1368201379865894,-0.025791516243381274,0,1,0,0,0,0
2024-01-14,2024-01-15,1.9912668930385423e-05,0.49963947809533621,0.50034060923573331,0.018315483362517648,0,1,0,0,0,0
2024-01-15,2024-01-16,6.008540730278387e-06,0.63308571944967085,0.36690827200959869,0.014932711058627701,0,1,0,0,0,0
2024-01-16,2024-01-17,1.8352025378869776e-06,0.81091381893284875,0.18908434586461331,-0.0087332398512012244,0,1,0,0,0,0
2024-01-17,2024-01-18,1.1804481691526416e-05,0.61957142289598655,0.38041677262232182,-0.034511219653625247,0,1,0,0,0,0
