decision_date,return_date,router_valid,router_fallback_used,risk_fallback_used,desired_exposure,final_exposure,pretrade_exposure,turnover,ambiguity_cvar,asset_simple_return,portfolio_net_return,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
2023-12-31,2024-01-01,True,False,False,0.44838468428500117,0.35000000000000003,0,0.35000000000000003,0.014700032421131756,0.045204329055532622,0.015465977639127049,0.55161531571499889,0.44838468428500117,0,0,0,0
2024-01-01,2024-01-02,True,False,False,0.44836522693305775,0.45000000000000001,0.36012381083345968,0.089876189166540332,0.018544718848973078,0.017207820131542428,0.0076529469120438787,0.5516347730669422,0.44836522693305775,0,0,0,0
2024-01-02,2024-01-03,True,False,False,0.44836576396549166,0.45000000000000001,0.45422620974683398,0.0042262097468339643,0.018460649668523559,-0.046894225442053017,-0.021106538475495928,0.55163423603450834,0.44836576396549166,0,0,0,0
2024-01-03,2024-01-04,True,False,False,0.44854230050401306,0.45000000000000001,0.43814347811856186,0.011856521881438153,0.022147321814684689,0.030836140545007718,0.013864242199153276,0.551457699495987,0.44854230050401306,0,0,0,0
2024-01-04,2024-01-05,True,False,False,0.44843499254747049,0.45000000000000001,0.45752749133356851,0.0075274913335685034,0.022143088610378486,-2.2646466019127232e-06,-8.5465746332280546e-06,0.55156500745252957,0.44843499254747049,0,0,0,0
2024-01-05,2024-01-06,True,False,False,0.44842206198182066,0.45000000000000001,0.4499994394993948,5.6050060520673739e-07,0.022135728293637216,-0.0042801917707085968,-0.0019260868562399613,0.55157793801817934,0.44842206198182066,0,0,0,0
2024-01-06,2024-01-07,True,False,False,0.44842447197765795,0.45000000000000001,0.44893860820455683,0.0010613917954431784,0.022136765642659286,-0.00092340093568255011,-0.00041659137181204731,0.55157552802234211,0.44842447197765795,0,0,0,0
2024-01-07,2024-01-08,True,False,False,0.44857325822601324,0.45000000000000001,0.44977136326289896,0.00022863673710105115,0.022135951321240202,0.069089154125111074,0.031089883611219449,0.55142674177398687,0.44857325822601324,0,0,0,0
2024-01-08,2024-01-09,True,False,False,0.44837749469725408,0.45000000000000001,0.46658396809838509,0.016583968098385082,0.022151944615439241,-0.017741928614928515,-0.0080003194406059741,0.55162250530274592,0.44837749469725408,0,0,0,0
2024-01-09,2024-01-10,True,False,False,0.44841258499541586,0.45000000000000001,0.44557353233480568,0.0044264676651943335,0.022140056230125733,0.010845671920050259,0.0048761042927500942,0.55158741500458419,0.44841258499541586,0,0,0,0
2024-01-10,2024-01-11,True,False,False,0.44837008063887734,0.45000000000000001,0.45267126654396644,0.0026712665439664329,0.019140549375312205,-0.0060283984533331392,-0.002715443323987321,0.5516299193611226,0.44837008063887734,0,0,0,0
2024-01-11,2024-01-12,True,False,False,0.44837965166752541,0.45000000000000001,0.44850391282848417,0.0014960871715158364,0.019139396686439398,-0.07578072071838815,-0.034102769391892274,0.55162034833247464,0.44837965166752541,0,0,0,0
2024-01-12,2024-01-13,True,False,False,0.44965990255126936,0.45000000000000001,0.43058209535833508,0.019417904641664929,0.024946704988694987,0.00035951153121560608,0.00014235914297300312,0.55034009744873058,0.44965990255126936,0,0,0,0
2024-01-13,2024-01-14,True,False,False,0.44987724249672906,0.45000000000000001,0.45008896471124804,8.8964711248029626e-05,0.024927857876155344,-0.025791516243381274,-0.011606270241692251,0.55012275750327089,0.44987724249672906,0,0,0,0
2024-01-14,2024-01-15,True,False,False,0.4539047297055675,0.45000000000000001,0.44354164285936898,0.0064583571406310325,0.02494335511909937,0.018315483362517648,0.0082354559264226079,0.5460952702944325,0.4539047297055675,0,0,0,0
2024-01-15,2024-01-16,True,False,False,0.45242691607264063,0.45000000000000001,0.45449602603173145,0.0044960260317314371,0.024941441722754729,0.014932711058627701,0.0067151937383147509,0.54757308392735937,0.45242691607264063,0,0,0,0
2024-01-16,2024-01-17,True,False,False,0.45045642883850429,0.45000000000000001,0.45367117670755186,0.0036711767075518487,0.024940637442745835,-0.0087332398512012244,-0.0039336146821780105,0.54954357116149577,0.45045642883850429,0,0,0,0
2024-01-17,2024-01-18,True,False,False,0.45257621606435355,0.45000000000000001,0.4478299951088911,0.002170004891108912,0.02493917370573781,-0.034511219653625247,-0.015532185148740552,0.5474237839356465,0.45257621606435355,0,0,0,0
2024-01-18,2024-01-19,True,False,False,0.45743149679993855,0.45000000000000001,0.44132373024261068,0.0086762697573893321,0.02521852033199061,0.0086044264482585398,0.0038632820375126276,0.54256850320006156,0.45743149679993855,0,0,0,0
2024-01-19,2024-01-20,True,False,False,0.45720532613297343,0.45000000000000001,0.45212138157367032,0.0021213815736703112,0.025212130692949541,0.0011381098732232697,0.00051002697491253635,0.54279467386702662,0.45720532613297343,0,0,0,0
2024-01-20,2024-01-21,True,False,False,0.45661252836363425,0.45000000000000001,0.45028153800409076,0.00028153800409075336,0.02521033723195196,-0.0026909443247937759,-0.0012112061432398846,0.5433874716363658,0.45661252836363425,0,0,0,0
2024-01-21,2024-01-22,True,False,False,0.45839749943394342,0.45000000000000001,0.44933318381526094,0.00066681618473907189,0.025210712797245387,-0.048740837645972257,-0.02193402913134157,0.54160250056605663,0.45839749943394342,0,0,0,0
2024-01-22,2024-01-23,True,False,False,0.45903667913344737,0.45000000000000001,0.4376661190219896,0.012333880978010414,0.026096302210439733,0.0084031913925433077,0.0037690556058833646,0.54096332086655263,0.45903667913344737,0,0,0,0
2024-01-23,2024-01-24,True,False,False,0.4592437213662845,0.45000000000000001,0.45207195490452579,0.0020719549045257746,0.026086307959422472,0.004943743607227935,0.0022226080589018427,0.54075627863371545,0.4592437213662845,0,0,0,0
2024-01-24,2024-01-25,True,False,False,0.45921062204433694,0.45000000000000001,0.45122086051317817,0.0012208605131781569,0.026085479065224036,-0.0037494387067804613,-0.0016884662186705812,0.54078937795566306,0.45921062204433694,0,0,0,0
2024-01-25,2024-01-26,True,False,False,0.45920772027183432,0.45000000000000001,0.44907044553169523,0.00092955446830478294,0.026085195357690553,0.046965497036486337,0.02113352446630623,0.54079227972816568,0.45920772027183432,0,0,0,0
2024-01-26,2024-01-27,True,False,False,0.45906646497553949,0.45000000000000001,0.461383378797108,0.01138337879710799,0.026095376501433482,0.0074046968164107607,0.0033206922578767895,0.54093353502446051,0.45906646497553949,0,0,0,0
