decision_date,return_date,hard_regime,asset_simple_return,desired_exposure_no_controller,counterfactual_pretrade_exposure,counterfactual_turnover,fee_fraction,counterfactual_net_return,wealth_before,wealth_after,original_controller_exposure,action,beta,retrieved_memory_count,cited_memory_count,projection_changes_selected_target
2023-05-02,2023-05-03,mix,0.0123652294630804,0.4753121692720971,0.4716324771469149,0.0036796921251821546,3.6796921251821547e-06,0.005873642720702232,1.1840771905230878,1.1910320368939533,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-03,2023-05-04,mix,-0.0062535316087597,0.4713156037537832,0.4783779216850283,0.007062317931245121,7.062317931245121e-06,-0.00295442852832295,1.1910320368939533,1.1875132178660073,0.45000000000000001,ABSTAIN,0.050000000000000003,0,0,True
2023-05-04,2023-05-05,bull,0.0232680699394289,0.49092218062667486,0.4697527599179117,0.021169420708763154,2.1169420708763152e-05,0.011401400398624473,1.1875132178660073,1.2010525315415566,0.5,BTC,0.050000000000000003,0,0,True
2023-05-05,2023-05-06,bull,-0.0222307306561132,0.4689644557679699,0.4966716060605076,0.027707150292537674,2.7707150292537676e-05,-0.010452840795012852,1.2010525315415566,1.1884981206429055,0.45000000000000001,ABSTAIN,0.050000000000000003,0,0,True
2023-05-06,2023-05-07,bull,-0.014980715317894,0.4898301133014444,0.4633698598285874,0.026460253472856965,2.6460253472856966e-05,-0.00736427156948849,1.1884981206429055,1.1797456977226644,0.5,BTC,0.050000000000000003,0,0,True
2023-05-07,2023-05-08,bull,-0.0265366862739578,0.4693969296564399,0.48605881003229234,0.016661880375852423,1.6661880375852424e-05,-0.012472693396262668,1.1797456977226644,1.1650310913494095,0.45000000000000001,ABSTAIN,0.050000000000000003,0,0,True
2023-05-08,2023-05-09,mix,-0.0012865687284291,0.4740933013958509,0.46270424528971005,0.011389056106140827,1.1389056106140827e-05,-0.0006213357252438101,1.1650310913494095,1.1643072159113343,0.45000000000000001,ABSTAIN,0.050000000000000003,0,0,True
2023-05-09,2023-05-10,mix,-0.0011434816120197,0.4782489814457641,0.47377232692385374,0.004476654521910373,4.476654521910373e-06,-0.0005513431226289445,1.1643072159113343,1.1636652831352143,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-10,2023-05-11,mix,-0.0224538370412232,0.4794385930929691,0.47796349590852844,0.0014750971844406657,1.4750971844406657e-06,-0.010766695257997894,1.1636652831352143,1.1511364536493855,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-11,2023-05-12,mix,-0.00683009987585,0.4792926189636294,0.47377364213982814,0.005518976823801258,5.518976823801258e-06,-0.0032791173670897455,1.1511364536493855,1.1473617421123337,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-12,2023-05-13,mix,-0.0008097256634527,0.480174517328861,0.47758242418988545,0.002592093138975571,2.592093138975571e-06,-0.00039140071492538286,1.1473617421123337,1.1469126639061928,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-13,2023-05-14,mix,0.0053216319671365,0.4795577088537021,0.47997232556137187,0.0004146167076697904,4.146167076697904e-07,0.00255161395870096,1.1469126639061928,1.1498391422688268,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-14,2023-05-15,mix,0.0098031203566122,0.479189637225581,0.480882512066189,0.001692874840607983,1.692874840607983e-06,0.004695852860152616,1.1498391422688268,1.1552386176937652,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-15,2023-05-16,mix,-0.0054664709625918,0.4792932114739558,0.4816247328731111,0.0023315213991552675,2.3315213991552673e-06,-0.0026223678358039404,1.1552386176937652,1.1522091571000466,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-16,2023-05-17,mix,0.0136044356822375,0.4797490245323984,0.4779253537527685,0.0018236707796299156,1.8236707796299157e-06,0.006524879174508502,1.1522091571000466,1.1597271826338866,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-17,2023-05-18,mix,-0.0209866766898635,0.478501639316926,0.4831225362975852,0.004620896980659206,4.620896980659206e-06,-0.010046733693111487,1.1597271826338866,1.1480757124733014,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-18,2023-05-19,mix,0.0020463694647383,0.4796941926929871,0.47321154579512403,0.0064826468978630425,6.4826468978630425e-06,0.0009751425378707879,1.1480757124733014,1.1491952499372304,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-19,2023-05-20,mix,0.0086783791927209,0.4773264914160225,0.48020444041296434,0.002877948996941826,2.877948996941826e-06,0.004139530420568027,1.1491952499372304,1.153952378633518,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-20,2023-05-21,mix,-0.0135085299562622,0.4794122217105418,0.47948269287101486,7.047116047304014e-05,7.047116047304014e-08,-0.0064762243731534275,1.153952378633518,1.1464791241135532,0.5,ABSTAIN,0.050000000000000003,0,0,True
