period,year,variant,days,terminal_growth,mean_exposure,total_turnover
corrected_pre2024,2021,single_llm_agent,364,0.35192074265674855,0.34436813186813187,4.1089943394626331
corrected_pre2024,2021,current_ramoe,364,0.27024408679118861,0.45329670329670335,4.1749332232901466
corrected_pre2024,2021,constant_matched_agent_exposure,364,0.22905718489116578,0.30744972577696528,2.7367546802055625
corrected_pre2024,2021,risk_budget_passive_btc,364,0.20551415461867428,0.30412087912087915,5.6742549446259947
corrected_pre2024,2021,bull_probability_controller,364,0.36424823749142621,0.22335164835164834,5.9676707428601397
corrected_pre2024,2021,constant_50_percent,364,0.35673976357991499,0.5,3.3507876703790171
corrected_pre2024,2021,buy_and_hold,364,0.57266477406259431,1,1
corrected_pre2024,2021,cash,364,0,0,0
corrected_pre2024,2022,single_llm_agent,365,-0.19367426907794216,0.2184931506849315,1.7104664146948176
corrected_pre2024,2022,current_ramoe,365,-0.35377662466608273,0.42616438356164388,2.8876817325242286
corrected_pre2024,2022,constant_matched_agent_exposure,365,-0.23906764240753575,0.30744972577696528,1.7754890268673771
corrected_pre2024,2022,risk_budget_passive_btc,365,-0.3288544898665231,0.36876712328767131,4.6825662028990438
corrected_pre2024,2022,bull_probability_controller,365,-0.0026607042932250691,0.00013698630136986303,0.097558513175447559
corrected_pre2024,2022,constant_50_percent,365,-0.37091191308242011,0.5,2.0889519670869574
corrected_pre2024,2022,buy_and_hold,365,-0.64219863910254027,1,0
corrected_pre2024,2022,cash,365,0,0,0
corrected_pre2024,2023,single_llm_agent,365,0.29989312689001824,0.3595890410958904,6.0811360402614074
corrected_pre2024,2023,current_ramoe,365,0.58628977471569921,0.45849315068493157,2.3820048612595768
corrected_pre2024,2023,constant_matched_agent_exposure,365,0.36038868726831041,0.30744972577696528,1.1936311114644917
corrected_pre2024,2023,risk_budget_passive_btc,365,0.58800099875802259,0.57191780821917804,6.0426604677290481
corrected_pre2024,2023,bull_probability_controller,365,0.41121946277214017,0.42397260273972603,14.862538487817693
corrected_pre2024,2023,constant_50_percent,365,0.63518986044576131,0.5,1.3984858873428943
corrected_pre2024,2023,buy_and_hold,365,1.5561756987192874,1,0
corrected_pre2024,2023,cash,365,0,0,0
