model,condition,repeat,planned,recorded,valid,invalid_or_missing,BTC_count,BTC_valid_rate,CASH_count,CASH_valid_rate,ABSTAIN_count,ABSTAIN_valid_rate,mean_latency_seconds,mean_executed_exposure
qwen3-coder:30b,exposed,1,12,12,12,0,4,0.3333333333333333,4,0.3333333333333333,4,0.3333333333333333,4.3636481910943985,0.45416666666666666
qwen3-coder:30b,hidden,1,12,12,12,0,4,0.3333333333333333,4,0.3333333333333333,4,0.3333333333333333,1.84331053091834,0.45416666666666666
deepseek-r1:8b,exposed,1,12,12,12,0,0,0.0,2,0.16666666666666666,10,0.8333333333333334,2.3548845990250507,0.44583333333333336
deepseek-r1:8b,hidden,1,12,12,11,1,0,0.0,0,0.0,11,1.0,2.200226047231505,0.4454545454545455
gemma4:latest,exposed,1,12,12,12,0,3,0.25,4,0.3333333333333333,5,0.4166666666666667,3.182469173334539,0.45
gemma4:latest,hidden,1,12,12,12,0,4,0.3333333333333333,4,0.3333333333333333,4,0.3333333333333333,1.8809515498578548,0.45416666666666666
