scope,strategy,first_return_date,last_return_date,days,arithmetic_mean_daily,geometric_mean_daily,daily_volatility,annualized_volatility,sharpe_zero_cash_rate,daily_loss_cvar95,positive_day_fraction,log_growth_contribution,cumulative_return,annualized_geometric_return,maximum_drawdown_loss,opening_wealth_original_path,closing_wealth_original_path,mean_btc_fraction,minimum_btc_fraction,maximum_btc_fraction,total_turnover,total_cost_in_initial_wealth_units
FULL,MEMORY,2021-01-02,2025-05-28,1608,0.0005831173316088483,0.00048127731653235405,0.014282333361090992,0.2729570261747914,0.7802825534659259,0.03252443497697729,0.4987562189054726,0.7737077559185139,1.1677890039035828,0.1921331344651101,0.4495937977019946,1.0,2.1677890039035725,0.4473258706467662,0.30000000000000004,0.5,15.405861682046883,0.020191683215608113
FULL,NO_MEMORY,2021-01-02,2025-05-28,1608,0.0005802940781288827,0.0004780315650972512,0.014311854714607537,0.27352122396102174,0.7749029818131362,0.03263518332866583,0.4987562189054726,0.7684910898079301,1.1565098179245803,0.19072136202832102,0.4518085520020094,1.0,2.1565098179245803,0.44804104477611945,0.30000000000000004,0.5,14.253975593984473,0.01858122698407551
FULL,CASH,2021-01-02,2025-05-28,1608,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FULL,BTC_BUY_AND_HOLD,2021-01-02,2025-05-28,1608,0.0013189721085735695,0.0008084883273541382,0.03198447292317162,0.6112717293562857,0.7881185069098801,0.07275942471402626,0.4987562189054726,1.2995239761604518,2.6675504105940386,0.34336955698007815,0.7663750834840114,1.0,3.66755041059418,1.0,1.0,1.0,1.0,0.001
FULL,STATIC45_REBALANCED_SECONDARY,2021-01-02,2025-05-28,1608,0.000588097315783452,0.00048472663802809243,0.014392763638224396,0.27506751605651547,0.780908439024012,0.03274780588301049,0.4987562189054726,0.779251587202195,1.179840234529257,0.19363528140308925,0.4504661755835412,1.0,2.1798402345292653,0.4500000000000002,0.45,0.45,9.211984483232367,0.012268041614287076
FULL,STATIC50_REBALANCED,2021-01-02,2025-05-28,1608,0.0006539906592097251,0.0005263820942874606,0.01599197115777989,0.3056307943205153,0.781564203330404,0.03638581377711087,0.4987562189054726,0.8461997149586412,1.330772400395777,0.21192557173135707,0.4886838883373842,1.0,2.330772400395788,0.5,0.5,0.5,9.34985994937764,0.012735824551968722
POST2021,MEMORY,2022-01-01,2025-05-28,1244,0.0004983234209823708,0.00042010851061877706,0.012519096413490107,0.23925889706027187,0.7607350520718984,0.028572428482208312,0.4967845659163987,0.5225052404437646,0.6862468162010182,0.1658056706985457,0.36253333512241326,1.2855704058718036,2.1677890039035725,0.4445739549839229,0.35000000000000003,0.5,11.094296837936227,0.014784063828293734
POST2021,NO_MEMORY,2022-01-01,2025-05-28,1244,0.0004948455767482954,0.00041641528906642455,0.012536200506285842,0.2395857821837952,0.7543951283747743,0.028619108658465748,0.4967845659163987,0.5179127936781419,0.6785205722252268,0.16423477491759023,0.36253333512241326,1.2847681783641616,2.1565098179245803,0.44509646302250805,0.35000000000000003,0.5,10.406163859997358,0.013845996027239777
POST2021,CASH,2022-01-01,2025-05-28,1244,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
POST2021,BTC_BUY_AND_HOLD,2022-01-01,2025-05-28,1244,0.0010784791948855637,0.0006809009098440369,0.028212716827548903,0.539187756710574,0.7305702346342373,0.06456968003311366,0.4967845659163987,0.8467524872800574,1.3320611430240485,0.28224753646792045,0.6695253257363101,1.5726647740625943,3.66755041059418,1.0,1.0,1.0,0.0,0.0
POST2021,STATIC45_REBALANCED_SECONDARY,2022-01-01,2025-05-28,1244,0.00048053897738545764,0.0004000721168355642,0.012695644642212423,0.24263300115587808,0.7233841260417773,0.02906204514894838,0.4967845659163987,0.49759018399992816,0.644752939197121,0.15730857800761552,0.3685415003802778,1.3253298915479255,2.1798402345292653,0.4500000000000001,0.45,0.45,5.939405543010216,0.008234856877915225
POST2021,STATIC50_REBALANCED,2022-01-01,2025-05-28,1244,0.0005344146854498312,0.0004350746222112296,0.014106268585774564,0.26959216160613286,0.7240379790630767,0.03229056389392306,0.4967845659163987,0.5411151258350775,0.7179214930988442,0.1721931094219477,0.4021194625734813,1.356739763579915,2.330772400395788,0.5,0.5,0.5,5.999072278998601,0.008533770802395467
2021,MEMORY,2021-01-02,2021-12-31,364,0.0008729075096839532,0.0006903549861429101,0.019137881065451876,0.3657538982491274,0.8717049071474237,0.04155312058679024,0.5054945054945055,0.2512025154747496,0.2855704058718047,0.2866798765127653,0.27411416796461674,1.0,1.2855704058718036,0.45673076923076933,0.30000000000000004,0.5,4.311564844110647,0.005407619387314396
2021,NO_MEMORY,2021-01-02,2021-12-31,364,0.0008723213740559448,0.0006886389154223162,0.01919704022896131,0.3668845194812655,0.8684350659559609,0.041728586428913056,0.5054945054945055,0.2505782961297882,0.28476817836416335,0.28587420025194704,0.27723567194882204,1.0,1.2847681783641616,0.4581043956043957,0.30000000000000004,0.5,3.8478117339871103,0.004735230956835735
2021,CASH,2021-01-02,2021-12-31,364,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,BTC_BUY_AND_HOLD,2021-01-02,2021-12-31,364,0.002140876461946867,0.0012446516534523968,0.04245492119445227,0.811377857016888,0.9637373277612351,0.09030030800859082,0.5054945054945055,0.45277148888039453,0.5726647740625816,0.5751119293811824,0.5311083097658351,1.0,1.5726647740625943,1.0,1.0,1.0,1.0,0.001
2021,STATIC45_REBALANCED_SECONDARY,2021-01-02,2021-12-31,364,0.0009556868019568173,0.0007740945203772019,0.019104117537246283,0.36510862607831573,0.956056853994606,0.0406414864535364,0.5054945054945055,0.28166140320226685,0.3253298915479257,0.32661242887097863,0.2691415855101693,1.0,1.3253298915479255,0.4500000000000001,0.45,0.45,3.272578940222153,0.0040331847363718745
2021,STATIC50_REBALANCED,2021-01-02,2021-12-31,364,0.0010626514046968352,0.0008384958168465693,0.02122683750098287,0.4056770201953356,0.9567547734861362,0.045156534816043196,0.5054945054945055,0.3050845891235639,0.356739763579913,0.35816193836440247,0.2960907457728703,1.0,1.356739763579915,0.5,0.5,0.5,3.3507876703790145,0.004202053749573257
2022,MEMORY,2022-01-01,2022-12-31,365,-0.0010089593007875765,-0.0011092369742863283,0.014143166560903484,0.2702973378058776,-1.363396279090725,0.03771364649696534,0.4575342465753425,-0.4050962110213566,-0.33308735657486255,-0.3332723745941447,0.36253333512241326,1.2855704058718036,0.8573631576890904,0.4123287671232877,0.35000000000000003,0.5,3.635333178322866,0.003775332996191726
2022,NO_MEMORY,2022-01-01,2022-12-31,365,-0.0010089593007875765,-0.0011092369742863283,0.014143166560903484,0.2702973378058776,-1.363396279090725,0.03771364649696534,0.4575342465753425,-0.4050962110213566,-0.33308735657486255,-0.3332723745941447,0.36253333512241326,1.2847681783641616,0.8568281420213412,0.4123287671232877,0.35000000000000003,0.5,3.635333178322866,0.0037729770956776683
2022,CASH,2022-01-01,2022-12-31,365,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2022,BTC_BUY_AND_HOLD,2022-01-01,2022-12-31,365,-0.002245336092687691,-0.00281186750536664,0.03350033775810222,0.6402422026651365,-1.2809355653849601,0.08817034893147946,0.4575342465753425,-1.0277773044003378,-0.6421986391025426,-0.6424504272614163,0.6695253257363101,1.5726647740625943,0.5627015963950923,1.0,1.0,1.0,0.0,0.0
2022,STATIC45_REBALANCED_SECONDARY,2022-01-01,2022-12-31,365,-0.0010160606093321024,-0.0011298984965255848,0.015074870681021467,0.288103614936688,-1.2881342625294887,0.039683983436326516,0.4575342465753425,-0.4126461192726376,-0.3381035262068458,-0.3382905744377291,0.3685415003802778,1.3253298915479255,0.8772311818282366,0.4500000000000002,0.45,0.45,2.066896351897311,0.0022363330279238486
2022,STATIC50_REBALANCED,2022-01-01,2022-12-31,365,-0.0011283874466537615,-0.0012690132695544287,0.016749868893899313,0.3201153681618839,-1.2874843130988431,0.04409254146164461,0.4575342465753425,-0.46348398929252915,-0.37091191308242066,-0.3711115884115531,0.4021194625734813,1.356739763579915,0.8535088223154983,0.5,0.5,0.5,2.088951967086956,0.0022595431299020623
